marchandises_simplification,classification_hamburg_large,obsolete
bois de cerf,,non
bois de cerisier,,non
bois de chaise,,non
bois de charbonnage,,non
bois de charonage,,non
bois de charpente,,non
bois de charpente couvertures de maisons,,non
bois de charpente de sapin,,non
bois de chataignier,,non
bois de chauffage,,oui
bois de chêne,,non
bois de chêne 30 pieds,,non
bois de chêne à poutre,,non
bois de chêne à sommier,,non
bois de chêne bourdilles,,non
bois de chêne bouts de 6 pieds,,non
bois de chêne carré,,non
bois de chêne chevrons,,non
bois de chêne courbé pour construction navale,,non
bois de chêne d'équarrissage,,non
bois de chêne de 30 à 40 pieds,,non
bois de chêne de 40 pieds,,non
bois de chêne de construction,,non
bois de chêne en lattes,,non
bois de chêne en morceaux,,non
bois de chêne en morceaux de 5 pieds,,non
bois de chêne et sapin pour construction,,non
bois de chêne pour bordage,,non
bois de chêne pour construction,,non
bois de chêne pour construction courbe,,non
bois de chêne rond,,non
bois de chêne scié,,non
bois de chevron,,non
bois de Chypre,,non
bois de clafou,,non
bois de cleippe,,non
bois de coco,,non
bois de Constantine,,non
bois de corne,,oui
bois de coulette de hêtre,,non
bois de couleur,,non
bois de courbant,,non
bois de courbaril,,non
bois de coutelier,,non
bois de crabe,,non
bois de faïence,,non
bois de fauteuil,,non
bois de fauteuil et canapé,,non
bois de fayard,,non
bois de fer,Fer,non
bois de ferol,Fer,non
bois de flèche,,non
bois de Fondal,,non
bois de France,,oui
bois de frêne,,non
bois de fuset,,oui
bois de fustel,,non
bois de fustel haché,,non
bois de fustel moulu,,oui
bois de fustel pour teinture,,non
bois de fustet,,non
bois de fustet moulu,,non
bois de fustet pour teinture,,non
bois de gabarit,,non
bois de gaiac,,non
bois de gaiac en bûches,,non
bois de gaiac râpé,,non
bois de gays,,non
bois de genièvre,,non
bois de girofle,,non
bois de gitte,,non
bois de grenadier,,non
bois de grenadille,,non
bois de Hambourg,,non
bois de hêtre,,oui
bois de Honduras,,non
bois de Honduras en bûches,,non
bois de houx bûches,,non
bois de jacaranda,,non
bois de la Chine,,non
bois de lettre,,non
bois de lin,,non
bois de lit,,non
bois de machandises marbre,,non
bois de machemillier,,non
bois de marbre,,non
bois de marguerite,,non
bois de marine,,non
bois de marqueterie,,non
bois de mathe,,non
bois de menuiserie,,non
bois de merrain,,non
bois de merrain à barrique,,non
bois de merrain à fond,,non
bois de Nantes,,non
bois de Nicaragua,,non
bois de noyer,,non
bois de palissandre,,non
bois de Pernambouc,Bois ; de Pernambouc,non
bois de Pernambouc à teindre,Bois ; de Pernambouc,non
bois de Pernambouc arbustes,Bois ; de Pernambouc,non
bois de Pernambouc moulu,Bois ; de Pernambouc,non
bois de Pernambouc pour teindre,Bois ; de Pernambouc,non
bois de Pernambouc râpé,Bois ; de Pernambouc,non
bois de pin,,non
bois de pourpre,,non
bois de Provence,,non
bois de Provence Pernambouc et Campêche,Bois ; de Pernambouc,non
bois de raquette,,non
bois de réglisse,,non
bois de réglisse et jus de réglisse,,non
bois de Rhodes,,non
bois de romarin,,non
bois de rosat,,non
bois de rose,,non
bois de roseau,,non
bois de rouage,,non
bois de rouage et ouvrages de charronerie,,non
bois de Saint-Martin,,oui
bois de Sainte-Lucie,,non
bois de Sainte-Marthe,,non
bois de Sainte-Marthe en bûches,,non
bois de Sainte-Marthe moulu,,non
bois de Sainte-Marthe pour teinture,,non
bois de santal,,non
bois de santal ???,,non
bois de santal cetrin,,non
bois de santal en bûches,,non
bois de santal moulu,,non
bois de santal mouton,,non
bois de santal pour teinture,,non
bois de sap,,non
bois de sapin,Bois ; de Pernambouc,non
bois de sapin de 2 à 3 pieds,Bois ; de Pernambouc,non
bois de sapin de 20 à 30 pieds,Bois ; de Pernambouc,non
bois de sapin de 22 pieds et 12 pouces,Bois ; de Pernambouc,non
bois de sapin de 40 pieds,Bois ; de Pernambouc,non
bois de sapin de 6 pieds,Bois ; de Pernambouc,non
bois de sapin peint,Bois ; de Pernambouc,non
bois de sappan,Bois ; de Pernambouc,non
bois de sassafras,,non
bois de sassafras moulu,,non
bois de saune,,non
bois de selles,,non
bois de senteur,,non
bois de serrure,,non
bois de Siramonbas,,non
bois de sommier,,non
bois de Surinam,,non
bois de table doré,,non
bois de teck,,oui
bois de teinture,Bois ; de teinture,non
bois de teinture en bûches,Bois ; de teinture,non
bois de teinture et marqueterie,Bois ; de teinture,non
bois de teinture moulu,Bois ; de teinture,non
bois de teinture Nicaragua,Bois ; de teinture,non
bois de terre,,non
bois de tilleul,,non
bois de violette,,non
bois des Îles et des Indes,,non
bois des Îles et des Indes pour teinture et marqueterie,Bois ; de teinture,non
bois des Indes,,non
bois des Indes de marqueterie et de teinture,Bois ; de teinture,oui
bois des Indes de teinture,Bois ; de teinture,non
bois des Indes de teinture moulu,Bois ; de teinture,non
bois des Indes de violette,,non
bois des Indes et de ébénisterie et de marqueterie,,non
Bois des Indes et de ébénisterie et de marqueterie,,oui
bois des Indes et des Indes râpé,,non
bois des Indes et des Indes rose,,non
bois des Indes et des Indes rouge,Bois ; de teinture,non
bois des Indes jaune,Bois ; de teinture,non
bois des Indes moulu,,non
bois des Indes moulu en bûches,,non
bois des Indes pour marqueterie,,non
bois des Indes pour teinture,,non
bois des Indes pour teinture et de marqueterie,,non
bois des Indes pour teinture et marqueterie,,non
bois dit à fond,,non
bois dit ricter,,non
bois dit schaelen ou rebuts de bois,,non
bois dit weres,,non
bois doré,,non
bois du Honduras de teinture,,non
bois du Japon,,non
bois du Japon jaune,,non
bois du Levant,,non
bois durci,,non
bois écarié,,non
bois en bûche de Pernambouc,Bois ; de Pernambouc,non
bois en bûches,,non
bois en bûches pour brûler,,non
bois en eprier,,non
bois en espars,,non
bois espar de 40 à 50 pieds,,non
bois espar de 56 à 61 pieds,,non
bois espars,,non
bois espars de 25 à 30 pieds,,non
bois espars de 4 à 5 pieds,,non
bois espars pour construction,,non
bois et bois pour construction,,non
bois et des Indes en bûches,,non
bois et merrains,,non
bois et ouvrages de charronerie,,non
bois et panier de coudre,,non
bois et papier d'éventail,,non
bois flotté en étançon rond,,non
bois fonçaille,,non
bois fond à castor,,non
bois gros,,non
bois jaune,,non
bois jaune à teindre,Bois ; de teinture,non
bois jaune en buches,,non
bois jaune moulu,,non
bois jaune râpé,,non
bois joli,,non
bois jonquette,,non
bois long,,non
bois lourd,,non
bois marbré,,non
bois merrain à cardine,,non
bois morceau,,oui
bois moulu,,non
bois moulu de sappan à teindre,Bois ; de teinture,non
bois moulu pour teindre,Bois ; de teinture,non
bois néphrétique,,non
bois osier,,non
bois palissandre,,non
bois peint,,non
bois perible,,non
bois petit de rouage,,non
bois portatif dit Neyster,,non
bois pour arbalète,,non
bois pour banquiere,,non
bois pour baril,,non
bois pour baril non scié,,non
bois pour barils long,,non
bois pour barils ordinaire,,non
bois pour barils pour fond,,non
bois pour barrique,,non
bois pour basse,,non
bois pour bâtir,,non
bois pour bâts,,non
bois pour boîtes,,non
bois pour bordage,,non
bois pour boucles,,non
bois pour brûler,,non
bois pour brûler d'orme,,non
bois pour brûler de chêne,,non
bois pour brûler de gite,,non
bois pour brûler en ???,,non
bois pour brûler et autres,,non
bois pour chaise,,non
bois pour chocolat,,non
bois pour comble,,non
bois pour construction,,non
bois pour construction de 40 pieds,,non
bois pour construction de sapin,,non
bois pour construction et planches de bois,,non
bois pour corbeilles,,non
bois pour corbin,,non
bois pour crible,,non
bois pour cribles,,non
bois pour étuis,,non
bois pour éventail,,non
bois pour éventail de nacre de perle,,non
bois pour faire sabot,,non
bois pour fond,,non
bois pour fonds de tonneau,,oui
bois pour fourreau,,non
bois pour fourreau d'épée,,non
bois pour fusil,,non
bois pour fût,,oui
bois pour gaine,,non
bois pour houblon,,non
bois pour instruments de musique,,non
bois pour Latte,,non
bois pour lit,,non
bois pour mâts,,non
bois pour meuble,,non
bois pour meubles,,non
bois pour palissade,,non
bois pour palissade et terrasse,,non
bois pour paniers,,non
bois pour parquet,,non
bois pour peinture et teinture,,non
bois pour pipe,,non
bois pour plafond,,non
bois pour poinçon,,non
bois pour pompe,,oui
bois pour quille,,oui
bois pour sommier,,non
bois pour tamis,,non
bois pour tanin,,non
bois pour tapis,,non
bois pour teindre,Bois ; de teinture,non
bois pour teindre en bûches,Bois ; de teinture,non
bois pour teindre râpé,Bois ; de teinture,non
bois pour teinture,Bois ; de teinture,non
bois pour tonneaux,,non
bois pour violon,,non
bois préparé pour charpente et autres ouvrages,,non
bois préparé pour ouvrages,,non
bois rosal,,non
bois rouge,Bois ; de teinture,non
bois rouge des Indes,Bois ; de teinture,non
bois rouge râpé,Bois ; de teinture,non
bois royal,,non
bois royet,,non
bois rozat,,non
bois Sainte Lucie,,non
bois scié,,non
bois soutreaux,,non
bois sustek,,non
bois tors,,non
bois travaillé,,non
bois tropique,,non
bois verni,,non
bois vert,,non
bois violet,,non
boisselerie et futailles,,non
boissellerie,,non
boisson gazeuse à la salsepareille,,non
boissons,,non
boîtes,,non
boîtes à cadrille,,non
boîtes à sucre,,oui
boîtes assorties,,non
boîtes blanches,,non
boîtes d'étain,,non
boîtes de bergamotes,,non
boîtes de bois,,non
boîtes de bois d'olivier,,non
boîtes de bois violet,,non
boîtes de cadrille,,non
boîtes de carton,,non
boîtes de fer,Fer,non
boîtes de fer-blanc,Fer,non
boîtes de Nuremberg,,non
boîtes de plomb,Plomb,non
boîtes de sapin,,non
boîtes de sapin blanc,,non
boîtes de sapin peintes,,non
boîtes de sapin teinte,,non
boîtes peintes,,non
boîtes vernies,,non
bol,,non
bol blanc,,non
bol commun,,non
bol d'Arménie,,non
bol de bois,,oui
bol et planches,,non
bol fin,,non
bolbet de coton,,non
boldavid,,non
boldes d'Espagne,,non
bolsas,,non
bombardes,,non
bombardes de cuivre,,non
bombardes de fer,Fer,non
bombasin,,non
bombasin de Troyes,,non
bombe de fer,Fer,non
bombes,,non
bombes de cuivre,,non
bombes et boulets,,non
bombes et canons,,non
bombes et grenade,,non
bombets de demitte,,non
bombets de demitte et corsets de demitte,,non
bombres de cuivre à thé,,non
bongras animal,,non
bonnet de fil et bonnets de coton,,non
bonneterie,,non
bonneterie commune de coton et bonneterie commune de laine,,non
bonneterie d'estam,,non
bonneterie de bourre de fil,,non
bonneterie de bourre de soie,,non
bonneterie de coton,,non
bonneterie de coton et bonneterie de fil,,non
bonneterie de coton et bonneterie de fil et bonneterie de laine,,non
bonneterie de coton et bonneterie de laine,,non
bonneterie de coton et bonneterie de soie,,non
bonneterie de fil,,non
bonneterie de fil de coton,,non
bonneterie de fil et bonneterie de coton,,non
bonneterie de filin d'or,,non
bonneterie de filoselle,,non
bonneterie de laine,,non
bonneterie de laine ???,,non
bonneterie de laine et bonneterie de coton,,non
bonneterie de laine et bonneterie poil,,non
bonneterie de laine fine,,non
bonneterie de laine tricots,,non
bonneterie de lapin de poil,,non
bonneterie de soie,,non
bonneterie de soie au sixième,,non
bonneterie de soie et dorure,,non
bonneterie écarlate,,non
bonneterie fil et bonneterie de coton,,non
bonnets,,non
bonnets à dentelle,,non
bonnets brodés d'or,,non
bonnets d'enfant,,non
bonnets d'enfant de velours et bonnets à la postillonne,,non
bonnets de basin,,non
bonnets de blonde,,non
bonnets de castor,,non
bonnets de castor brodés,,non
bonnets de coton,,non
bonnets de coton et bonnets de fil,,non
bonnets de femme,,non
bonnets de fer-blanc à la turc,,non
bonnets de fil,,non
bonnets de fil et bas,,non
bonnets de fil et bonnets de coton,,non
bonnets de filosel,,non
bonnets de gaze,,non
bonnets de grenadine,,non
bonnets de laine,,non
bonnets de laine ???,,non
bonnets de laine commune,,non
bonnets de laine communs,,non
bonnets de laine et bonnets de fil et bonnets de coton,,non
bonnets de laine fin,,non
bonnets de laine grasse,,non
bonnets de laine grosse,,non
bonnets de peau,,non
bonnets de postillon,,non
bonnets de prêtre,,non
bonnets de soie,,non
bonnets de taffetas,,non
bonnets de toile,,non
bonnets de toile cirée,,non
bonnets de velours,,non
bonnets de velours brodés,,non
bonnets écarlates,,non
bonnets montés,,non
bonnets piqués,,non
bonnets piqués et carcasse et fer à coiffures,,non
bonnetterie,,non
bonnetterie ???,,non
bonnetterie de coton,,non
borax,,non
borax brut,,non
borax gras,,non
borax raffiné,,non
bordage,,non
bordage de bois,,non
bordage de chêne,,non
bordage de cipres,,non
bordage de pin,,non
bordage de sapin,,non
bordage de sapin de 20 pieds,,non
bordage pour navire,,non
bordure de bois doré,,non
bordure dorée,,non
bordures de tapisserie,,oui
botte,,non
bottes,,non
bottes de boucans,,non
bottes de boucaud,,non
bottes de cuir,,non
bottes de cuir à matelot,,non
bottes de cuir fortes,,non
bottes de lin,,non
bottes de sapin,,non
bottes et bottines,,non
bottes et pantalons,,oui
bottes et souliers,,non
bottes fortes,,non
bottes molles,,non
bottes neuves,,non
bottines,,non
bottines de cuir,,non
bottines de peau,,non
boucaniers,,non
boucassin,,non
boucassin rouge,,non
boucaud vide,,non
bouchie,,non
bouchons,,non
bouchons de liège,,non
bouchons de liège et planches de liège,,non
boucles,,non
boucles d'argent,,non
boucles d'oreilles,,non
boucles de cuivre,,non
boucles de fer,Fer,non
boucles de pinsbeck,,non
boucles de sapin,,non
boucles de souliers à pierres fausses,,non
boucles de tombac,,non
boucs,,non
boucs en vie,,non
boucs et chèvres,,non
boudins de poisson,,non
bouette de sapin,,non
bouge,,non
bougie,Bougie ; de suif,non
bougie blanche,,non
bougie de blanc de baleine,Blanc ; de baleine,non
bougie de cire,,non
bougie de cire blanche,,non
bougie de cire blanche et cierges de cire blanche,,non
bougie de cire blanche et jaune et cire blanche et jaune fondue,,non
bougie de cire jaunne,,non
bougie de cire verte,,non
bougie de suif,Bougie ; de suif,non
bougie de tables,,non
bougie de tables et cierges,,non
bougie en suif et suif,Bougie ; de suif,non
bougie et cierges,,non
bougie jaune,,non
bougie verte,,non
bougran,,non
bouguette,,non
bouillotte de cuivre,,non
boulange,,non
boulans,,non
boules,,non
boules d'acier,,non
boules de bois,,non
boules de buis,,non
boules de canons,,non
boules de fer,Fer,non
boules de mail,,non
boules de marbre,,non
boules de marbre pour jouets d'enfant,,non
boules de métal blanc,,non
boules de sapin,,non
boules de terres,,non
boules de verre,,non
boules vulnéraires,,non
boulets,,non
boulets de canon de 4 livre,,non
boulets de canons,,non
boulets de canons de fer,Fer,non
boulets de canons et mitraille,,non
boulets de fer,Fer,non
boulets de fer et canons de fer,Fer,non
boulets et canons,,non
boulets et canons de fer de fonte,Fer,non
boulettes de marbre,,non
bouquets de fleurs artificielles,,non
bouracan,,non
bouras,,non
bouras d'Alep,,non
bouras de coton,,non
bouras de coton et bouras de fil,,non
bouras de coton et de fil,,non
bouras de Damas,,non
bouras de fil,,non
bouras de laine,,non
bouras de Nîmes,,non
bouras de poil,,non
bouras de soie,,non
bouras du Levant,,non
bouras satiné,,non
bourde à cheveux,,non
bourdilles,,non
bourdilles à barriques,,non
bourdillons,,non
bourdillons à barriques,,non
bourdillons à quart,,non
bourdillons à tierçons,,non
bourlets,,non
bourre,,non
bourre à bâtier,,non
bourre à bourrer,,non
bourre chiquette,,non
bourre de bœuf,,non
bourre de bœuf et bourre de vache,,non
bourre de cerf,,non
bourre de chèvre,,non
bourre de chureaux,,non
bourre de coton,,non
bourre de drap,,non
bourre de fil,,non
bourre de laine,,non
bourre de soie,,non
bourre de soie et filoselle et soie,,non
bourre de vache,,non
bourre du Levant,,non
bourre-lanisse,,non
bourrelet de velours,,non
bourriques,,non
bours de soie,,non
bours du Levant de soie,,non
bourses,,non
bourses à cheveux,,non
bourses à cheveux de soie,,non
bourses à cheveux de taffetas,,non
bourses à perruques,,non
bourses à ressorts,,non
bourses d'or et bourses d'argent,,non
bourses de bœuf,,non
bourses de cuir à ressorts,,non
bourses de fil,,non
bourses de filoselle,,non
bourses de perruques,,non
bourses de soie,,non
bourses de soieet bourses d'or et bourses d'argent,,non
bourses de taffetas,,non
boussoles,,non
bout de planches et planches de sapin,,non
boutanne,,non
boutarge,,non
bouteille d'étains à virole,,non
bouteilles,,non
bouteilles clissées,,non
bouteilles de bois,,non
bouteilles de composition,,non
bouteilles de cristal,,non
bouteilles de cristal et carafes,,non
bouteilles de grès,,non
bouteilles de marbre,,non
bouteilles de pierre et pots de pierre,,non
bouteilles de terre,,non
bouteilles de verre,,non
bouteilles de verre à virole,,non
bouteilles de verre à virole d'étain,,non
bouteilles de verre avec roseaux,,non
bouteilles de verre clissées,,non
bouteilles de verre garnies de joncs,,non
