goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,sitc18_rev3,nbr_occurences_medicinales
armoires de bois des Indes,1,not a medical product,non,1,8,530318
armoires de chêne,9,not a medical product,non,5,8,530318
armoires de chêne ornée,1,not a medical product,non,1,8,530318
armoires de noyer,9,not a medical product,non,3,8,530318
armoires de sapin,3,not a medical product,non,1,8,530318
armoires et commodes,1,not a medical product,non,,,530318
armoires vieilles,2,not a medical product,non,1,8,530318
armoisin,46,not a medical product,non,13,6f,530318
armure de fer,1,not a medical product,non,1,8,530318
armure vieille,1,not a medical product,non,1,8,530318
arnas,1,not a medical product,non,,,530318
arpois,1,not a medical product,non,1,???,530318
arquebuse,1,not a medical product,non,1,8,530318
arrangas,1,not a medical product,non,1,???,530318
arrosoirs,6,not a medical product,non,5,6j,530318
arrosoirs de bois,2,not a medical product,non,1,6b,530318
arrosoirs de cuivre,1,not a medical product,non,1,6j,530318
arrosoirs de fer,1,,non,,,1431
arrosoirs de fer-blanc,6,not a medical product,non,4,6j,530318
arrosoirs de sapin,1,not a medical product,non,1,6b,530318
arrosoirs de terre,1,not a medical product,non,,,530318
arrowroot,1,not a medical product,non,1,2,530318
arséniate de potasse,2,narrow medical product,non,2,5,24146
arsenic,411,narrow medical product,non,363,2,24146
arsenic métallique,6,narrow medical product,non,6,5,24146
artichauts,79,not a medical product,non,76,0a,530318
artichauts champignons et truffes,2,not a medical product,non,2,0a,530318
artichauts confits,68,not a medical product,non,38,0a,530318
artichauts frais,17,not a medical product,non,14,0a,530318
artichauts marinés,2,not a medical product,non,2,0a,530318
artichauts secs,6,not a medical product,non,5,0a,530318
artifice,5,not a medical product,non,5,8,530318
artifice fusées etc.,1,not a medical product,non,1,8,530318
artillerie,6,not a medical product,non,6,8,530318
asa fœtida,123,narrow medical product,non,109,2,24146
asperges,9,not a medical product,non,9,0a,530318
asperges confites,1,not a medical product,non,,,530318
asperges et scorsonères,1,not a medical product,non,1,0a,530318
asphaltum,19,narrow medical product,non,19,2,24146
assiette,1,not a medical product,non,1,9c,530318
assiette de Biarritz,1,not a medical product,non,1,6k,530318
assiette de bois,1,not a medical product,non,1,6b,530318
assiette de faïence,8,not a medical product,non,3,6k,530318
assiette de porcelaine,3,not a medical product,non,1,6k,530318
assiette de porcelaine des Indes,1,not a medical product,non,,,530318
assiette de terre,6,not a medical product,non,5,6k,530318
assiette et plats de terre,1,not a medical product,non,1,6k,530318
asustum,1,narrow medical product,non,1,2,24146
atastes,1,not a medical product,non,,,530318
atlas,2,not a medical product,non,,,530318
atlas à la feuille d'or,1,,non,,,1431
atlas et instruments de marine,1,not a medical product,non,,,530318
atlas jaspé,1,,non,,,1431
attaches de cuivre,1,not a medical product,non,1,6j,530318
attelles de colliers,14,not a medical product,non,14,7,530318
aube,1,not a medical product,non,1,8,530318
auchinoise,2,not a medical product,non,2,???,530318
auclimes,2,not a medical product,non,1,???,530318
auf,117,not a medical product,non,105,2,530318
auf ouvré,0,not a medical product,oui,20,6h,530318
auf travaillé,0,not a medical product,oui,3,6h,530318
auf travaillé en cordes,0,not a medical product,oui,1,6h,530318
augemy,2,not a medical product,non,2,???,530318
auges,3,not a medical product,non,3,9c,530318
auges de carreaux,2,not a medical product,non,2,6k,530318
augustins,2,not a medical product,non,1,???,530318
aurcsats,1,not a medical product,non,1,???,530318
aurcsats étoile,1,not a medical product,non,1,???,530318
aussière,4,not a medical product,non,,6i,530318
autel de marbre,2,not a medical product,non,1,6k,530318
avelanèdes,58,not a medical product,non,58,5,530318
avelines,8,not a medical product,non,6,0a,530318
avelines et noisettes sèches,22,not a medical product,non,22,0a,530318
avelines faînes noisettes noix,1,not a medical product,non,1,0a,530318
avelines noisettes noix,5,not a medical product,non,5,0a,530318
avirons,639,not a medical product,non,551,7,530318
avirons bruts,17,not a medical product,non,6,7,530318
avirons de 12 pieds,1,not a medical product,non,1,7,530318
avirons de 18 pieds,1,not a medical product,non,1,7,530318
avirons de 30 pieds,1,not a medical product,non,1,7,530318
avirons de 5 pieds,1,not a medical product,non,1,7,530318
avirons de 8 à 12 pieds,1,not a medical product,non,1,7,530318
avirons de bois,51,not a medical product,non,52,7,530318
avirons de bois façonné,1,not a medical product,non,1,7,530318
avirons de chêne,1,not a medical product,non,,,530318
avirons de sapin,1,not a medical product,non,,,530318
avirons et perches de bois,3,not a medical product,non,3,7,530318
avirons et rames bruts,2,not a medical product,non,2,7,530318
avirons et rames de bois,1,not a medical product,non,1,7,530318
avirons et rames de bois façonné,2,not a medical product,non,2,7,530318
avirons et rames façonnés,5,not a medical product,non,5,7,530318
avirons polis,1,not a medical product,non,1,7,530318
avoine,498,not a medical product,non,420,0a,530318
avoine en gerbes,1,not a medical product,non,1,0a,530318
avoine et haricots,1,not a medical product,non,1,0a,530318
avoine et orge etc.,1,not a medical product,non,1,0a,530318
avoine mondée,1,not a medical product,non,1,0a,530318
avoine moulée,1,not a medical product,non,1,0a,530318
azur,729,not a medical product,non,642,5,530318
azur commun,197,not a medical product,non,173,5,530318
azur et bleu de Prusse,9,not a medical product,non,9,5,530318
azur et cobalt,20,not a medical product,non,20,5,530318
azur fin,13,not a medical product,non,13,5,530318
azur gros,22,not a medical product,non,22,5,530318
babassis,1,not a medical product,non,1,???,530318
babouches,90,not a medical product,non,86,8,530318
babouches de maroquin,2,not a medical product,non,1,8,530318
bacs d'1 aime,1,not a medical product,non,1,6k,530318
bacs de pierre,1,not a medical product,non,1,6k,530318
bacs de pierre bleue,1,not a medical product,non,1,6k,530318
bacs de pierre d'1 aime,1,not a medical product,non,1,6k,530318
bacs de pierre de 4 aimes,1,not a medical product,non,1,6k,530318
bacs de pierre de demi d'aime,1,not a medical product,non,1,6k,530318
bacs de pierre de moindre classe,1,not a medical product,non,1,6k,530318
bacs de pierre de trois-quart d'aime,1,not a medical product,non,1,6k,530318
bacs de pierre en dessous d'1 aime,1,not a medical product,non,1,6k,530318
bacs de pierre en dessus d'1 aime,1,not a medical product,non,1,6k,530318
badiane,60,narrow medical product,non,57,2,24146
baffetas,10,not a medical product,non,10,6g,530318
baffetas blanc,19,not a medical product,non,4,6g,530318
baffetas bleu,26,not a medical product,non,10,6g,530318
baffetas des Indes,2,not a medical product,non,2,6g,530318
bagarot,1,not a medical product,non,1,???,530318
bagues,5,not a medical product,non,5,8,530318
bagues à pierres fausses,1,not a medical product,non,1,8,530318
bagues d'argent,2,not a medical product,non,2,8,530318
bagues d'or,1,not a medical product,non,1,8,530318
bagues de cuivre,2,not a medical product,non,1,6j,530318
bagues de laiton,1,not a medical product,non,1,8,530318
bagues de verre,3,not a medical product,non,2,8,530318
baguettes,6,not a medical product,non,3,9c,530318
baguettes à chandelle,1,not a medical product,non,1,9c,530318
baguettes à étoffe,2,not a medical product,non,2,6j,530318
baguettes d'étain,2,not a medical product,non,1,6j,530318
baguettes de bois,1,not a medical product,non,1,6b,530318
baguettes de bois doré,1,not a medical product,non,1,6b,530318
baguettes de cuivre,3,not a medical product,non,3,6j,530318
baguettes de fer à fusil,1,not a medical product,non,1,8,530318
baguettes de fusil,47,not a medical product,non,41,8,530318
bahuts,24,not a medical product,non,24,8,530318
baie de laurier,28,not a medical product,non,28,2,530318
baies de buis,1,not a medical product,non,1,2,530318
baies de genévrier à distiller,2,not a medical product,non,2,0a,530318
baies de genièvre,6,not a medical product,non,5,0a,530318
baignes,3,not a medical product,non,3,6e,530318
baignoires,2,not a medical product,non,2,8,530318
baignoires d'acajou,1,not a medical product,non,1,8,530318
baignoires de cuivre,4,not a medical product,non,4,8,530318
baignoires de sapin,1,not a medical product,non,1,8,530318
baignoires de tôle,2,not a medical product,non,1,8,530318
baigots,1,not a medical product,non,1,???,530318
baillarge,5,not a medical product,non,5,0a,530318
bailles,1,not a medical product,non,1,6b,530318
baïonnettes,13,not a medical product,non,8,8,530318
bais de bois de chêne,1,not a medical product,non,,,530318
bajutapau,230,not a medical product,non,153,6g,530318
bajutapau commun,1,not a medical product,non,1,6g,530318
bajutapau des Indes,1,not a medical product,non,1,6g,530318
"bajutapau, canelis, etc.",3,,non,,,1431
balais,123,not a medical product,non,114,8,530318
balais communs,5,not a medical product,non,5,8,530318
balais coupés,3,not a medical product,non,3,8,530318
balais de bois,39,not a medical product,non,39,8,530318
balais de brandes,1,not a medical product,non,1,8,530318
balais de bruyère,13,not a medical product,non,11,8,530318
balais de chanvre,1,not a medical product,non,1,8,530318
balais de crin,12,not a medical product,non,10,8,530318
balais de foyer,1,not a medical product,non,1,8,530318
balais de jonc,50,not a medical product,non,39,8,530318
balais de jonc petits,1,not a medical product,non,1,8,530318
balais de laine à laver les planchers,1,not a medical product,non,1,8,530318
balais de millet,2,not a medical product,non,1,8,530318
balais de paille,2,not a medical product,non,2,8,530318
balais de paille de riz,6,not a medical product,non,6,8,530318
balais de palme,295,not a medical product,non,244,8,530318
balais de palme petits,1,not a medical product,non,1,8,530318
balais de plumes,3,not a medical product,non,3,8,530318
balais de poil,2,not a medical product,non,1,8,530318
balais de riz,5,not a medical product,non,5,8,530318
balais de soie,7,not a medical product,non,7,8,530318
balais de soie de porcs,18,not a medical product,non,18,8,530318
balais de toile,1,not a medical product,non,1,8,530318
balais du roi,1,not a medical product,non,1,8,530318
balais fins,1,not a medical product,non,1,8,530318
balais grands de palme,2,not a medical product,non,2,8,530318
balais ou ramons,1,not a medical product,non,1,8,530318
balais petits,1,not a medical product,non,1,8,530318
balance,8,not a medical product,non,5,8,530318
balance à la romaine,1,not a medical product,non,1,8,530318
balance complète,1,not a medical product,non,,,530318
balance de bois,1,not a medical product,non,1,8,530318
balance de cuivre,8,not a medical product,non,5,8,530318
balance de cuivre jaune,1,not a medical product,non,1,8,530318
balance de fer,4,not a medical product,non,3,8,530318
balance et poids de cuivre,1,not a medical product,non,,,530318
balance et romaine,2,not a medical product,non,2,8,530318
balance et ses poids,1,not a medical product,non,1,8,530318
balance ou fléaux en fer,1,not a medical product,non,1,8,530318
balance petite,1,not a medical product,non,1,8,530318
balance romaine,3,not a medical product,non,3,8,530318
balauste,0,not a medical product,oui,9,2,530318
balcon de fer,1,not a medical product,non,1,6j,530318
baleine,125,not a medical product,non,121,2,530318
baleine apprêtée,1,not a medical product,non,1,2,530318
baleine coupée,641,not a medical product,non,563,2,530318
baleine coupée en fanon,11,not a medical product,non,11,2,530318
baleine coupée et en fanon,12,not a medical product,non,12,2,530318
baleine de sarde,18,not a medical product,non,17,2,530318
baleine en fanon,278,not a medical product,non,254,2,530318
baleine en fanon et de sarde,1,not a medical product,non,,,530318
baleine non sciée,1,not a medical product,non,1,2,530318
baleine taillée,1,not a medical product,non,,,530318
balles,1,not a medical product,non,1,9c,530318
balles à jouer,3,not a medical product,non,1,8,530318
balles d'osier,3,not a medical product,non,3,6b,530318
balles de fer et canons de fer,2,not a medical product,non,1,8,530318
balles de fer uni,1,not a medical product,non,1,8,530318
balles de jonc,1,not a medical product,non,,,530318
balles de palme,1,not a medical product,non,,,530318
balles de plomb,8,not a medical product,non,7,6j,530318
balles et dragées de plomb,1,not a medical product,non,1,6j,530318
balles vides,1,not a medical product,non,1,9c,530318
balustres,12,not a medical product,non,1,9c,530318
bamboches,1,,non,,,1431
bambous,8,not a medical product,non,7,2,530318
banastron,1,not a medical product,non,1,???,530318
banc à couper la paille,1,not a medical product,non,1,8,530318
banc de sapin,1,not a medical product,non,1,8,530318
bandages,4,not a medical product,non,1,6i,530318
bandages de peaux,5,not a medical product,non,5,6a,530318
bandages pour soldats,1,not a medical product,non,1,6a,530318
bandanas des Indes,1,not a medical product,non,1,8,530318
bandeaux,4,not a medical product,non,3,9c,530318
banderoles,1,not a medical product,non,1,9c,530318
banderoles de cuir,2,not a medical product,non,1,6a,530318
bandes de cabrouets de fer,3,not a medical product,non,3,7,530318
bandes de charrettes,1,not a medical product,non,,,530318
bandes de fer,7,not a medical product,non,1,6j,530318
bandes de fer à tombereaux,1,not a medical product,non,1,7,530318
