simplification,nbr_occurences_simpl,obsolete,medicinales,nbr_obs,nbr_occurences_medicinales
arsenic,477,non,narrow medical product,363,26542
arsenic métallique,6,non,narrow medical product,6,26542
artichauts,83,non,not a medical product,76,795416
artichauts champignons et truffes,2,non,not a medical product,2,795416
artichauts confits,67,non,not a medical product,38,795416
artichauts frais,17,non,not a medical product,14,795416
artichauts marinés,2,non,not a medical product,2,795416
artichauts secs,6,non,not a medical product,5,795416
artifice,5,non,not a medical product,5,795416
artifice fusées etc.,44,non,not a medical product,1,795416
artillerie,6,non,not a medical product,6,795416
asa fœtida,125,non,narrow medical product,109,26542
ascrile,1,non,,,42621
asperges,9,non,not a medical product,9,795416
asperges confites,1,non,not a medical product,,795416
asperges et scorsonères,69,non,not a medical product,1,795416
asphaltum,19,non,narrow medical product,19,26542
aspic en grabeau,1,non,,,42621
assiette,2,non,not a medical product,1,795416
assiette de Biarritz,1,non,not a medical product,1,795416
assiette de bois,1,non,not a medical product,1,795416
assiette de faïence,10,non,not a medical product,3,795416
assiette de porcelaine,4,non,not a medical product,1,795416
assiette de porcelaine des Indes,1,non,not a medical product,,795416
assiette de terre,8,non,not a medical product,5,795416
assiette et plats de terre,1,non,not a medical product,1,795416
asustum,1,non,narrow medical product,1,26542
atastes,1,non,not a medical product,,795416
atchiabanis,14,oui,,,42621
atlas,4,non,not a medical product,,795416
atlas à la feuille d'or,1,non,,,42621
atlas et instruments de marine,2,non,not a medical product,,795416
atlas jaspé,1,non,,,42621
attaches de cuivre,1,non,not a medical product,1,795416
attelles de colliers,14,non,not a medical product,14,795416
aube,1,non,not a medical product,1,795416
auchinoise,2,non,not a medical product,2,795416
auclimes,3,non,not a medical product,1,795416
auf,117,non,not a medical product,105,795416
auf ouvré,0,oui,not a medical product,20,795416
auf travaillé,0,oui,not a medical product,3,795416
auf travaillé en cordes,0,oui,not a medical product,1,795416
augemy,2,non,not a medical product,2,795416
auges,3,non,not a medical product,3,795416
auges de carreaux,2,non,not a medical product,2,795416
augustins,2,non,not a medical product,1,795416
aurcsats,1,non,not a medical product,1,795416
aurcsats étoile,1,non,not a medical product,1,795416
aussière,0,non,not a medical product,,795416
autel de marbre,2,non,not a medical product,1,795416
aux travaux du Roi,6,non,,,42621
avelanède,62,non,,,42621
avelanèdes,59,oui,not a medical product,58,795416
avelines,12,non,not a medical product,6,795416
avelines et noisettes sèches,22,non,not a medical product,22,795416
avelines faînes noisettes noix,1,non,not a medical product,1,795416
avelines noisettes noix,5,non,not a medical product,5,795416
avirons,667,non,not a medical product,551,795416
avirons bruts,17,non,not a medical product,6,795416
avirons de 12 pieds,1,non,not a medical product,1,795416
avirons de 18 pieds,1,non,not a medical product,1,795416
avirons de 30 pieds,1,non,not a medical product,1,795416
avirons de 5 pieds,1,non,not a medical product,1,795416
avirons de 8 à 12 pieds,1,non,not a medical product,1,795416
avirons de bois,60,non,not a medical product,52,795416
avirons de bois façonné,1,non,not a medical product,1,795416
avirons de chêne,1,non,not a medical product,,795416
avirons de sapin,1,non,not a medical product,,795416
avirons en bois de construction,2,non,,,42621
avirons et perches de bois,0,non,not a medical product,3,795416
avirons et rames bruts,2,non,not a medical product,2,795416
avirons et rames de bois,1,non,not a medical product,1,795416
avirons et rames de bois façonné,2,non,not a medical product,2,795416
avirons et rames façonnés,5,non,not a medical product,5,795416
avirons polis,1,non,not a medical product,1,795416
avoine,1029,non,not a medical product,420,795416
avoine en gerbes,22,non,not a medical product,1,795416
avoine et haricots,1,non,not a medical product,1,795416
avoine et orge etc.,1,non,not a medical product,1,795416
avoine mondée,1,non,not a medical product,1,795416
avoine moulée,1,non,not a medical product,1,795416
azur,747,non,not a medical product,642,795416
azur commun,334,non,not a medical product,173,795416
azur et bleu de Prusse,10,non,not a medical product,9,795416
azur et cobalt,20,non,not a medical product,20,795416
azur fin,13,non,not a medical product,13,795416
azur gros,24,non,not a medical product,22,795416
babassis,1,non,not a medical product,1,795416
babouches,91,non,not a medical product,86,795416
babouches de maroquin,2,non,not a medical product,1,795416
bacs d'1 aime,1,non,not a medical product,1,795416
bacs de pierre,4,non,not a medical product,1,795416
bacs de pierre bleue,2,non,not a medical product,1,795416
bacs de pierre d'1 aime,13,non,not a medical product,1,795416
bacs de pierre de 4 aimes,2,non,not a medical product,1,795416
bacs de pierre de demi d'aime,66,non,not a medical product,1,795416
bacs de pierre de moindre classe,85,non,not a medical product,1,795416
bacs de pierre de trois-quart d'aime,2,non,not a medical product,1,795416
bacs de pierre en dessous d'1 aime,14,non,not a medical product,1,795416
bacs de pierre en dessus d'1 aime,54,non,not a medical product,1,795416
badiane,61,non,narrow medical product,57,26542
baffetas,10,non,not a medical product,10,795416
baffetas blanc,20,non,not a medical product,4,795416
baffetas bleu,29,non,not a medical product,10,795416
baffetas des Indes,4,non,not a medical product,2,795416
bafs ?,0,non,,,42621
bagages,5,non,,,42621
bagarot,1,non,not a medical product,1,795416
bagues,5,non,not a medical product,5,795416
bagues à pierres fausses,1,non,not a medical product,1,795416
bagues d'argent,2,non,not a medical product,2,795416
bagues d'or,1,non,not a medical product,1,795416
bagues de cuivre,2,non,not a medical product,1,795416
bagues de laiton,1,non,not a medical product,1,795416
bagues de verre,3,non,not a medical product,2,795416
baguettes,6,non,not a medical product,3,795416
baguettes à chandelle,1,non,not a medical product,1,795416
baguettes à étoffe,2,non,not a medical product,2,795416
baguettes d'étain,2,non,not a medical product,1,795416
baguettes de bois,1,non,not a medical product,1,795416
baguettes de bois doré,1,non,not a medical product,1,795416
baguettes de cuivre,3,non,not a medical product,3,795416
baguettes de fer à fusil,53,non,not a medical product,1,795416
baguettes de fusil,48,non,not a medical product,41,795416
bahuts,24,non,not a medical product,24,795416
baie de laurier,28,non,not a medical product,28,795416
baies de buis,1,non,not a medical product,1,795416
baies de genévrier à distiller,2,non,not a medical product,2,795416
baies de genièvre,9,non,not a medical product,5,795416
baignes,3,non,not a medical product,3,795416
baignoires,2,non,not a medical product,2,795416
baignoires d'acajou,1,non,not a medical product,1,795416
baignoires de cuivre,4,non,not a medical product,4,795416
baignoires de sapin,1,non,not a medical product,1,795416
baignoires de tôle,2,non,not a medical product,1,795416
baigots,1,non,not a medical product,1,795416
baillarge,9,non,not a medical product,5,795416
bailles,1,non,not a medical product,1,795416
baïonnettes,79,non,not a medical product,8,795416
bais de bois de chêne,2,non,not a medical product,,795416
bajutapau,251,non,not a medical product,153,795416
bajutapau commun,1,non,not a medical product,1,795416
bajutapau des Indes,3,oui,not a medical product,1,795416
"bajutapau, canelis, etc.",3,non,,,42621
balais,155,non,not a medical product,114,795416
balais communs,5,non,not a medical product,5,795416
balais coupés,3,non,not a medical product,3,795416
balais de bois,39,non,not a medical product,39,795416
balais de brandes,1,non,not a medical product,1,795416
balais de bruyère,12,non,not a medical product,11,795416
balais de chanvre,1,non,not a medical product,1,795416
balais de crin,12,non,not a medical product,10,795416
balais de foyer,1,non,not a medical product,1,795416
balais de jonc,51,non,not a medical product,39,795416
balais de jonc petits,1,non,not a medical product,1,795416
balais de laine à laver les planchers,1,non,not a medical product,1,795416
balais de Livourne,18,non,,,42621
balais de millet,2,non,not a medical product,1,795416
balais de paille,2,non,not a medical product,2,795416
balais de paille de riz,6,non,not a medical product,6,795416
balais de palme,314,non,not a medical product,244,795416
balais de palme petits,2,non,not a medical product,1,795416
balais de plumes,3,non,not a medical product,3,795416
balais de poil,2,non,not a medical product,1,795416
balais de riz,6,non,not a medical product,5,795416
balais de soie,7,non,not a medical product,7,795416
balais de soie de porcs,18,non,not a medical product,18,795416
balais de toile,1,non,not a medical product,1,795416
balais du roi,1,non,not a medical product,1,795416
balais fins,1,non,not a medical product,1,795416
balais grands de palme,3,non,not a medical product,2,795416
balais ou ramons,101,non,not a medical product,1,795416
balais petits,6,non,not a medical product,1,795416
balance,11,non,not a medical product,5,795416
balance à la romaine,1,non,not a medical product,1,795416
balance complète,1,non,not a medical product,,795416
balance de bois,1,non,not a medical product,1,795416
balance de cuivre,8,non,not a medical product,5,795416
balance de cuivre jaune,1,non,not a medical product,1,795416
balance de fer,4,non,not a medical product,3,795416
balance et poids de cuivre,1,non,not a medical product,,795416
balance et romaine,2,non,not a medical product,2,795416
balance et ses poids,1,non,not a medical product,1,795416
balance ou fléaux en fer,3,non,not a medical product,1,795416
balance petite,1,non,not a medical product,1,795416
balance romaine,3,non,not a medical product,3,795416
balauste,0,oui,not a medical product,9,795416
balcon de fer,1,non,not a medical product,1,795416
baleine,130,non,not a medical product,121,795416
baleine apprêtée,1,non,not a medical product,1,795416
baleine coupée,782,non,not a medical product,563,795416
baleine coupée en fanon,12,non,not a medical product,11,795416
baleine coupée et en fanon,12,non,not a medical product,12,795416
baleine de sarde,18,non,not a medical product,17,795416
baleine en fanon,287,non,not a medical product,254,795416
baleine en fanon apprêté,4,oui,,,42621
baleine en fanon brut,4,oui,,,42621
baleine en fanon brut de pêche étrangère,2,oui,,,42621
baleine en fanon brut de pêche française,2,oui,,,42621
baleine en fanon de sarde,19,oui,,,42621
baleine en fanon et de sarde,1,non,not a medical product,,795416
baleine non sciée,75,non,not a medical product,1,795416
baleine taillée,2,non,not a medical product,,795416
balles,9,non,not a medical product,1,795416
balles à jouer,105,non,not a medical product,1,795416
balles d'osier,3,non,not a medical product,3,795416
balles de fer et canons de fer,51,non,not a medical product,1,795416
balles de fer uni,1,non,not a medical product,1,795416
balles de jonc,1,non,not a medical product,,795416
balles de laine,1,non,,,42621
balles de palme,1,non,not a medical product,,795416
balles de plomb,9,non,not a medical product,7,795416
balles de plumes,1,non,,,42621
balles et dragées de plomb,121,non,not a medical product,1,795416
balles vides,1,non,not a medical product,1,795416
ballons de sapin,1,oui,,,42621
ballons en sapin,1,non,,,42621
ballots,69,non,,,42621
ballots d'étoffe,1,non,,,42621
ballots de joncs,1,non,,,42621
ballots de toile,1,non,,,42621
balustres,12,non,not a medical product,1,795416
bamboches,1,non,,,42621
bambous,3,non,not a medical product,7,795416
bambous et joncs,2,non,,,42621
bambous et joncs forts,5,non,,,42621
banastron,1,non,not a medical product,1,795416
banc à couper la paille,1,non,not a medical product,1,795416
banc de sapin,1,non,not a medical product,1,795416
bandages,4,non,not a medical product,1,795416
bandages de peaux,5,non,not a medical product,5,795416
bandages pour soldats,1,non,not a medical product,1,795416
bandanas des Indes,1,non,not a medical product,1,795416
