marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames
Bois ; de marbre	Bois	2	2				
Bois ; de marqueterie	Bois	2	2				
Bois ; de marqueterie ; marbre	Marbre	2	2				
Bois ; de menuiserie	Bois	2	2				
Bois ; de merrains	Bois	2	2				
Bois ; de noyer	Bois	2	2				
Bois ; de palisante	Bois	2	2	bois servant à tourner et embellir	2	2	bois servant à tourner et embellir
Bois ; de palissandre	Bois	2	2				
Bois ; de pernambouc	Bois	2	2				
Bois ; de pin	Bois	2	2				
Bois ; de romarin	Bois	2	2	bois servant à tourner et embellir	2	2	bois servant à tourner et embellir
Bois ; de rose	Bois	2	2				
Bois ; de rouage	Bois	2	2				
Bois ; de rouage et ouvrages de charonerie	Bois ; ouvré	6	6		2	2	
Bois ; de rouage et ouvrage de charronerie		6	6				
Bois ; de santal	Bois	2	2				
Bois ; de santal ; moulu		2	2				
Bois ; de santal ; moulu	Bois	2	2				
Bois ; de sapin	Bois	2	2				
Bois ; de sapin pour charpente	Bois	2	2		2	2	
Bois ; de selles	Bois	2	2		2	2	
Bois ; de teck		2	2				
Bois ; de teinture		2	2				
Bois ; de terre	Bois	2	2				
Bois ; de tilleul		2	2				
Bois ; de toutes sortes	Bois	2	2				
Bois ; de toutes sortes déclarés par valeur	Bois	2	2		6	6	
Bois ; de violette	Bois	2	2				
Bois ; des Iles	Bois	2	2				
Bois ; dit 'ricter'	Bois	2	2				
Bois ; dit schaelen ou rebus de Bois ;	Bois	2	2		2	2	
Bois ; dit werres	Bois	2	2	werres, verris	2	2	werres, verris
Bois ; divers	Bois	2	2				
Bois ; doré	Bois	2	2				
Bois ; du Brésil		2	2				
Bois ; du Japon	Bois	2	2				
Bois ; durci	Bois	2	2				
Bois ; en barreaux	Bois	2	2				
Bois ; en barreaux et planches	Bois	2	2				
Bois ; en barres	Bois	2	2				
Bois ; en copeaux		2	2				
Bois ; en epriers		2	2				
Bois ; en feuillard et cercles	Bois	2	2				
Bois ; en tailles ; à couvrir		2	2				
Bois ; en tranches	Bois	2	2				
Bois ; epars	Epars	2	2	Longs morceaux de sapin, qui servent à faire des mâts de chaloupes et de canot, des bouts- dehors de vergues,			
Réglisse ; bois et jus	Réglisse	5	5		5	5	
Bois et ouvrage de charonnerie	Bois ; ouvré	6	6		6	6	
Bois et ouvrage de charronerie		6	6				
Bois et panier ; de coudre		6	6				bois de coudre et panniers dudit bois
Bois ; fagots	Bois ; à brûler	3	3				
Bois ; feuillard et en cercles	Bois ; feuillard et en cercles	2	2				
Bois ; flotté ; en étançons ; ronds		2	2				
Bois ; fustel	Bois	2	2				
Bois ; gros	Bois	2	2				
Bois ; jaune	Bois	2	2				
Bois ; lourd		2	2				
Bois ; marbré	Bois	2	2				
Bois ; merrain	Bois	2	2				
Bois ; merrain ; a busses	Bois	2	2				
Bois ; merrain ; de sapin	Bois	2	2				
Bois ; merrain ; à Sonds	Bois	2	2				
Bois ; merrain ; à barils	Bois	2	2				
Bois ; merrain ; à barriques	Bois	2	2				
Bois ; merrain ; à bottes	Bois	2	2				
Bois ; merrain ; à fonds	Bois	2	2				
Bois ; merrain ; à pipes	Bois	2	2				
Bois ; merrain ; à quarts	Bois	2	2				
Bois ; merrain ; à tierçons	Bois	2	2				
Bois ; merrain ; à tonneaux	Bois	2	2				
Bois ; merrain ; à tortues	Bois	2	2				
Bois ; néphrétique	Bois	2	2				
Bois ; ouvré	Bois ; ouvré	2	2				
Bois ; palissandre	Bois	2	2				
Bois ; par arbalètes	Bois	2	2		2	2	
Bois ; piles de		2	2				
Bois ; portatif dit Neyster	Bois	2	2	bois dit neister	2	2	bois dit neister
Bois ; pour Instrument de musique		2	2				
Bois ; pour Latte		2	2				
Bois ; pour Pipe		2	2				
Bois ; pour arbalètes		2	2				
Bois ; pour chaises	Bois	2	2		2	2	
Bois ; pour construction		2	2				
Bois ; pour cribles	Bois	2	2				
Bois ; pour fonds de tonneaux		2	2				
Bois ; pour fusils		2	2				
Bois ; pour fûts		2	2				
Bois ; pour instruments de musique	Bois	2	2		6	6	
Bois ; pour lattes	Bois	2	2		2	2	
Bois ; pour navire		2	2				
Bois ; pour palissade		2	2				
Bois ; pour palissade et terrasse		2	2				
Bois ; pour palissades	Bois	2	2				
Bois ; pour plafonds		2	2				
Bois ; pour pompe		2	2				
Bois ; pour quilles		2	2				
Bois ; préparé		2	2				
Bois ; préparé pour charpente et autres ouvrages	Bois	2	2		2	2	
Bois ; préparé pour fusils	Bois	2	2		2	2	
Bois ; préparé pour ouvrages	Bois	2	2				
Bois ; préparé pour palissades et terrasse	Bois	2	2		2	2	
Bois ; rose	Bois	2	2				
Bois ; rouge	Bois	2	2				
Bois ; royal	Bois	2	2				
Bois ; scié	Bois	2	2				
Bois ; scié de toutes sortes declarés par valeur	Bois	2	2				
Bois ; scié en pieds de gittes	Bois	2	2				
Bois ; scié en verres	Bois	2	2		2	2	
Bois ; soutreaux		2	2				
Bois ; tord	Bois	2	2				
Bois ; tropique	Bois	2	2		5	5	
Bois ; vernis	Bois	2	2				
Bois ; violet	Bois	2	2				
Bois ; à Meuble		2	2				
Bois ; à baril non scié		2	2				
Bois ; à barils	Bois	2	2				
Bois ; à barrique		2	2				
Bois ; à brûler	Bois ; à brûler	2	2				
Bois ; à bâtir	Bois	2	2				
Bois ; à cribles	Bois	2	2				
Bois ; à faire corbin	Bois	2	2				
Bois ; à faire des Boîte		2	2				
Bois ; à faire des boîtes	Bois	2	2				
Bois ; à faire des foureaux		2	2				
Bois ; à faire des étuis	Bois	2	2				
Bois ; à faire fourreaux d'épées	Bois	2	2				
Bois ; à faire sabots		2	2				
Bois ; à faire sommier	Bois	2	2				
Bois ; à faire violons	Bois	2	2				
Bois ; à fourreau d'Epée	Bois	2	2				
Bois ; à fusils	Bois	2	2				
Bois ; à houblon		2	2				
Bois ; à meubles	Bois	2	2				
Bois ; à tamis	Bois	2	2				
Bois ; à tapis		2	2				
Bois ; à teindre	Bois	2	2				
Bois ; à teindre de toutes sortes		2	2				
Bois ; à tonneaux		2	2				
Bois ; à tourner		2	2				
Bois ; épars		2	2				
Boisson gazeuse à la salsepareille		1	1				
Bois ; blanc à faire sabots	Bois	2	2		2	2	
Bois ; chêne		2	2				
Bois ; chêne ; en bloc		2	2				
Bois ; d'acajou	Bois	2	2	bois servant à tourner et embellir	2	2	bois servant à tourner et embellir
Bois ; d'arc et de fusils	Bois	2	2		2	2	
Bois ; d'arcs	Bois	2	2		2	2	
Bois ; d'arcs et d'arbalètes	Bois	2	2		2	2	
Bois ; d'arcs et de selles	Bois	2	2		2	2	
Bois ; de buis	Bois	2	2	bois servant à tourner et embellir	2	2	bois servant à tourner et embellir
Bois ; de chêne, carré	Bois	2	2				
Bois ; de chêne, ronde	Bois	2	2		2	2	
Bois ; de construction	Bois	2	2		2	2	
Bois ; de coudre et paniers dudit bois	Bois	8	8	bois de coudre et panniers dudit bois	8	8	bois de coudre et panniers dudit bois
Bois ; de cèdre	Bois	2	2	bois servant à tourner et embellir	2	2	bois servant à tourner et embellir
Bois ; de flèches	Bois	2	2		2	2	
Bois ; de flèches, arcs etc	Bois	2	2		2	2	
Bois ; divers	Bois	2	2				
Bois ; morceaux		2	2				
Bois ; piles de	Bois	2	2				
Bois ; préparé pour palissades	Bois	2	2		2	2	
Bois ; scié en gites	Bois	2	2		2	2	
Bois ; à baril non scié	Bois	2	2		2	2	
Bois ; à bruler	Bois ; à brûler	3	3		2	2	
Bois ; à tapis	Bois	2	2				
Bois ; à teindre de toutes sortes	Bois	2	2		5	5	
Bol	Bol	6	6				
Bol ; blanche		6	6				
Bol ; d'Arménie	Bol ; d'Arménie	5	5		5	5	
Boldavid	Boldavid	6	6a		6	6a	
Bol ; blanche	Bol ; blanche	6	6b		6	6b	
Bombasin	Bombasin	6	6d				
Bombes	Bombes et grenades	9	9				
Bombes de coton	Bombes de coton	…	…				
Bombes et grenades	Bombes et grenades	9	9		9	9	
Bonnet ; de blonde	Bonnet	8	8				
Bonnet ; de coton	Bonnet	8	8				
Bonnet ; de femme	Bonnet	8	8				
Bonnet ; de fil	Bonnet	8	8				
Bonnet ; de fil et coton	Bonnet	8	8		8	8	
Bonnet ; de laine	Bonnet	8	8				
Bonnet ; de laine, fil et coton	Bonnet	8	8		8	8	
Bonnet ; de peaux	Bonnet	8	8		8	8	
Bonnet ; de postillons	Bonnet	8	8		8	8	
Bonnet ; de prêtres	Bonnet	8	8		8	8	
Bonnet ; de soie	Bonnet	8	8				
Bonnet ; de soye	Bonnet	8	8		8	8	
Bonnet ; de toile	Bonnet	8	8				
Bonnet ; de toile cirée	Bonnet	8	8				
Bonnet ; de velours	Bonnet	8	8				
Bonnet et pique		8	8				
Bonnet ; picques	Bonnet	8	8		8	8	
Bonnet ; picques, carcasses et fers à coiffures	Bonnet	8	8		8	8	
Bonnet, pique, carcasse et fer à coiffure		8	8				
Bonnet ; piqués	Bonnet	8	8				
Bonneterie	Bonneterie	8	8				
Bonneterie ; bas ; de bourre ; de soie	Bonneterie	8	8				
Bonneterie ; bas ; de coton	Bonneterie	8	8				
Bonneterie ; bas ; de laine	Bonneterie	8	8				
Bonneterie ; bas ; de soie	Bonneterie	8	8				
Bonneterie ; bonnet	Bonneterie	8	8				
Bonneterie ; bonnet ; d'enfant	Bonneterie	8	8				
Bonneterie ; bonnet ; d'enfant, de velours ; et Bonnet ; à la postillonne	Bonneterie	8	8				
Bonneterie ; bonnet ; de castor	Bonneterie	8	8				
Bonneterie ; bonnet ; de coton	Bonneterie	8	8				
Bonneterie ; bonnet ; de femme	Bonneterie	8	8				
Bonneterie ; bonnet ; de fil et coton	Bonneterie	8	8				
Bonneterie ; bonnet ; de filosel	Bonneterie	8	8				
Bonneterie ; bonnet ; de grenadines	Bonneterie	8	8				
Bonneterie ; bonnet ; de laine	Bonneterie	8	8				
Bonneterie ; bonnet ; de laine, fil et coton	Bonneterie	8	8				
Bonneterie ; bonnet ; de peaux	Bonneterie	8	8				
Bonneterie ; bonnet ; de postillons	Bonneterie	8	8				
Bonneterie ; bonnet ; de prêtres	Bonneterie	8	8				
Bonneterie ; bonnet ; de soie	Bonneterie	8	8				
Bonneterie ; bonnet ; de toile cirée	Bonneterie	8	8				
Bonneterie ; bonnet ; de velours	Bonneterie	8	8				
Bonneterie ; bonnet ; piqués	Bonneterie	8	8				
Bonneterie ; de bourre ; de fil	Bonneterie	8	8				
Bonneterie ; de bourre ; de soie	Bonneterie	8	8				
Bonneterie ; de coton	Bonneterie	8	8				
Bonneterie ; de coton ; tricot	Bonneterie	8	8				
Bonneterie ; de fil	Bonneterie	8	8				
Bonneterie ; de fil et coton	Bonneterie	8	8				
Bonneterie ; de fil, coton et laine	Bonneterie	8	8				
Bonneterie ; de filain ; d'or	Bonneterie	8	8				
Bonneterie ; de filoselle	Bonneterie	8	8				
Bonneterie ; de laine	Bonneterie	8	8				
Bonneterie ; de soie	Bonneterie	8	8				
Bonneterie ; de soie ; tricot	Bonneterie	8	8				
Bonneterie ; de soie et dorure	Bonneterie	8	8				
Bonneterie ; diverse	Bonneterie	8	8				
Bonneterie ; en poil ; de lapin	Bonneterie	8	8				
Bonneterie ; fil et coton	Bonneterie	8	8				
Bonnets ; d'enfans	Bonnet	8	8		8	8	
Bonnets ; d'enfans, de velours et Bonnets ; à la postillonne	Bonnet	8	8		8	8	
Bonnets ; de castor	Bonnet	8	8		8	8	
Bonnets ; de grenadines	Bonnet	…	…				
Bonnet ; de filosel	Bonnet	8	8		8	8	
Borax	Borax	2	2				
Bordages ; de chêne	Bordages ; de chêne	…	…				
Bordures ; de tapisseries		8	8				
Bordures ; dorées	Bordures ; dorées	8	8	Cadres ?			
Bordures ; de tapisseries	Bordures ; de tapisseries	6	6		6	6	
Bottes	Bottes	8	8				
Bottes ; fortes	Bottes	8	8				
Bottes et bottines	Bottes	8	8				
Bottes pantalons		8	8				
Bottines	Bottes	8	8				
Boucassin	Boucassin	6	6d	Toile de coton			
Bouchons ; de liège	Bouchons ; de liège	6	6				
Boucles	Boucles	8	8				
Boucles ; d'argent	Boucles	8	8				
Boucles ; d'oreilles	Boucles	8	8				
Boucles ; de Pinsbeck		8	8				
Boucles ; de cuivre	Boucles	8	8				
Boucles ; de fer		8	8				
Boucles ; de Pinsbeck	Boucles	8	8		8	8	
Boucles ; de fer	Boucles	8	8				
Boudins de poisson	Poisson	0	0a		0	0a	
Boue de sel	Boue de sel	…	…				
Bougie	Bougie	8	8				
Bougie ; blanche	Bougie	8	8				
Bougie ; jaune	Bougie	8	8				
Bougran	Bougran	8	8				
Bouguette	Bouguette	0	0a		0	0a	
Boulange	Boulange	0	0a				
Boulangerie ; Petits pains ronds		0	0a				
Boules ; de bois	Boules ; de bois	8	8				
Boules ; de buis	Boulles ; de bois	8	8				
Boules ; de mail	Boules ; de mail	8	8	Boule de buis, pour jouer au maillet (Savary)			
Boules ; de verre		6	6				
Boules ; vulneraires	Boules ; vulneraires	5	5	Médicament			
Boules de bois	Boulles ; de bois	6	6a				
Boules ; de verre	Boules ; de verre	6	6		6	6	
Boulets ; de canon	Boulets ; de canon	9	9				
Boulettes de marbre	Boulettes de marbre	6	6a				
Boulles ; d'acier	Boulles ; d'acier	5	5	boulles d'acier vulneraire	5	5	boulles d'acier vulneraire
Bouracan	Bouracan	…	…				
Bourde	Cendre	5	5	Soude salée, de qualité inférieure, utilisée dans la fabrication du savon			
Bourdilles	Bourdilles	2	2	Bourdille ou bourillon : bois qui est utilisé pour les tonneaux et les futailles de vin et eau-de-vie			
Bourillon	Bois	2	2	Bourdille ou bourillon : bois qui est utilisé pour les tonneaux et les futailles de vin et eau-de-vie			
Bourillons	Bourillons	2	2	Bourdille ou bourillon : bois qui est utilisé pour les tonneaux et les futailles de vin et eau-de-vie			
Bourras	Étoffe ; de laine	6	6b	Bourras : On appelloit autrefois de ce nom une sorte de grosse étoffe de laine qui ne servoit que pour habiller les pauvres et les paysans. Ce terme n'est plus en usage et il est d'apparence qu'on lui a substitué celui de bure. (Savary)			
Bourre	Bourre	2	2	Bourre de textile ?			
Bourre ; chiquette	Bourre	2	2				
Bourre ; de Levant	Bourre	2	2				
Bourre ; de bœuf	Bourre	2	2				
Bourre ; de chèvre	Bourre	2	2				
Bourre ; de drap	Bourre	2	2				
Bourre ; de fil	Bourre	2	2				
Bourre ; de laine	Bourre	2	2	bourre de laine et noppes	2	2	bourre de laine et noppes
Bourre ; de soie	Bourre	2	2				
Bourre ; de vache		2	2				
Bourre ; du Levant		2	2				
Bourre ; à bâtir	Bourre	2	2				
Bourre-lanisse	Bourre-lanisse	2	2				
Bourse	Bourse	8	8				
Bourse ; de Damas	Bourse	8	8				
Bourse ; de coton	Bourse	8	8				
Bourse ; de coton et fil	Bourse	8	8				
Bourse ; de fil	Bourse	8	8				
Bourse ; de soie	Bourse	8	8				
Bourse ; or et argent	Bourse	8	8				
Bourse ; à bartier	Bourse	8	8				
Bourse ; à butier	Bourse	8	8				
Bourse ; à chevaux	Bourse	8	8				
Bourse ; à cheveux	Bourse	8	8				
Bourses ; de soie		8	8				
Boussoles	Boussoles	8	8				
Boutannes	Boutannes	…	…				
Bouteilles	Bouteilles	6	6				
Bouteilles ; cristal	Bouteilles	6	6				
Bouteilles ; de bois	Bouteilles	6	6				
Bouteilles ; de composition	Bouteilles	6	6				
Bouteilles ; de cristal et carafes	Bouteilles	6	6				
Bouteilles ; de grès	Bouteilles	6	6				
Bouteilles ; de verre	Bouteilles	6	6				
Bouteilles ; cristal	Bouteilles	6	6				
Bouteilles ; de cristal et carafes	Bouteilles	6	6		6	6	
Boutonnières ; d'or	Boutonnières ; d'or	8	8				
Boutons	Boutons	8	8				
Boutons ; blanc ; étamés	Boutons	8	8				
Boutons ; brodés ; de nacre ; de perle et d'acier	Boutons	8	8				
Boutons ; brodés ; or et argent	Boutons	8	8				
Boutons ; d'acier	Boutons	8	8		8	8	
Boutons ; d'argent	Boutons	8	8				
Boutons ; d'argent sur bois	Boutons	8	8		8	8	
Boutons ; d'or	Boutons	8	8		8	8	
Boutons ; d'or ; faux	Boutons	8	8				
Boutons ; d'or et d'argent	Boutons	8	8				
Boutons ; d'or faux	Boutons	8	8		8	8	
Boutons ; d'os	Boutons	8	8		8	8	
Boutons ; d'os et de cornes	Boutons	8	8		8	8	
Boutons ; d'étain	Boutons	8	8				
Boutons ; de Pinsbach	Boutons	8	8				
Boutons ; de Pinsbeck	Boutons	8	8				
Boutons ; de bois de coco	Boutons	8	8		8	8	
Boutons ; de coco	Boutons	8	8				
Boutons ; de cocq	Boutons	8	8		8	8	
Boutons ; de cornes	Boutons	8	8		8	8	
Boutons ; de coton	Boutons	8	8				
Boutons ; de crin	Boutons	8	8				
Boutons ; de cristal	Boutons	8	8				
Boutons ; de cuivre	Boutons	8	8				
Boutons ; de cuivre argenté et dorée	Boutons	8	8		8	8	
Boutons ; de cuivre doré	Boutons	8	8		8	8	
Boutons ; de cuivre et d'étain	Boutons	8	8		8	8	
Boutons ; de cuivre et d'étain argentés	Boutons	8	8		8	8	
Boutons ; de cuivre sur bois	Boutons	8	8		8	8	
Boutons ; de cuivre sur bois, d'os de cocq et de cornes	Boutons	8	8		8	8	
Boutons ; de fil	Boutons	8	8				
Boutons ; de fil blanc	Boutons	8	8				
Boutons ; de fil d'argent	Boutons	8	8				
Boutons ; de fil d'or	Boutons	8	8				
Boutons ; de fil d'or et d'argent	Boutons	8	8				
Boutons ; de fil de poil de chevre	Boutons	8	8		8	8	
Boutons ; de fil or et argent	Boutons	8	8				
Boutons ; de jais	Boutons	8	8				
Boutons ; de jayet	Boutons	8	8		8	8	
Boutons ; de laiton	Boutons	8	8				
Boutons ; de manches	Boutons	8	8				
Boutons ; de métal	Boutons	8	8				
Boutons ; de métal doré	Boutons	8	8		8	8	
Boutons ; de nacre	Boutons	8	8				
Boutons ; de nacre de perle	Boutons	8	8				
Boutons ; de nacre de perle et jayet	Boutons	8	8		8	8	
Boutons ; de poil	Boutons	8	8				
Boutons ; de poil ; de chèvre	Boutons	8	8				
Boutons ; de soie	Boutons	8	8				
Boutons ; de soie à poil	Boutons	8	8				
Boutons ; de soye	Boutons	8	8		8	8	
Boutons ; de tombacq doré	Boutons	8	8		8	8	
Boutons ; de trait d'or et d'argent fin	Boutons	8	8	boutons de fil d'or et d'argent fin	8	8	boutons de fil d'or et d'argent fin
Boutons ; divers	Boutons	8	8				
Boutons ; dorure ; d'argent	Boutons	8	8				
Boutons ; dorure ; d'or et d'argent	Boutons	8	8				
Boutons ; dorure ; d'or faux	Boutons	8	8				
Boutons ; dorure ; d'or fin	Boutons	8	8				
Boutons ; masquinés	Boutons	8	8				
Boutons ; à Pierre ; fausses	Boutons	8	8				
Boutons ; à pierres ; fausses	Boutons	8	8				
Bouts ; de corne	Bouts ; de corne	2	2				
Boutty	Boutty	…	…				
Boyaux ; salés	Boyaux ; salés	0	0a				
Boîte	Boîtes	6	6				
Boîte ; blanche	Boîtes	6	6				
Boîte ; de Nuremberg	Boîtes	6	6				
Boîte ; de bergamote	Boîtes	6	6				
Boîte ; de bois	Boîtes	6	6				
Boîte ; de carton	Boîtes	6	6				
Boîte ; de sapin	Boîtes	6	6				
Boîte ; à sucre	Boîtes	6	6				
Boîtes	Boîtes	6	6				
Boîtes ; blanches	Boîtes	6	6				
Boîtes ; de bergamote	Boîtes	6	6				
Boîtes ; de bois	Boîtes	6	6				
Boîtes ; de carton	Boîtes	6	6				
Boîtes ; de sapin	Boîtes	6	6				
Boîtes ; de Nuremberg	Boîtes	6	6		6	6	
Brai	Bray	5	5				
Brai ; Poix blanche et noire	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			
Brai ; goudron	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			
Brai ; goudron et résine	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			
Brai ; gras	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			
Brai ; raze	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			
Brai ; résine	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			
Brai ; sec	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			
Brai ; à brasser	Brai, goudron et résine	5	5				
Brai et goudron	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			
Brai, goudron et résine	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			
Brai, goudron, poix et résine	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			
Brai ; à brasser	Bray ; à brasser	0	0a		0	0a	
Brancards ; de fer	Brancards ; de fer	…	…				
Brandans	Brandans	…	…				
Brandebourgs	Brandebourgs	8	8				
Brandebourgs ; d'or	Brandebourgs	8	8				
Brandebourgs ; de fil	Brandebourgs	8	8				
Bras ; de cheminée	Bras ; de cheminée	…	…				
Brasselets	Brasselets	8	8		8	8	
Braule	Braule	…	…				
Bray ; en poix ; résine	Brai, goudron et résine	5	5				
Bray ; gros	Brai, goudron et résine	5	5				
Bray ; raffiné	Brai, goudron et résine	5	5				
Bray ; résine	Brai, goudron et résine	5	5				
Brebis	Bestiaux	0	0a				
Brian	Brian	…	…				
Brigadis	Brigadis	6	6	Sorte de cuir (qu’on fabrique aussi en Dauphiné) (BD)			
Brignoles	Brignoles	0	0a		0	0a	
Briques	Briques	6	6		6	6	
Briques ; de terre cuite	Briques	6	6				
Briques ; hollandaises en terre cuite	Briques	6	6				
Briquets	Briquets	8	8				
Bris d'espars	Bris d'espars	2	2				
Brocade		8	8				
Broches		0	0a				
Brochets	Brochets	0	0a				
Broderie	Broderie	8	8				
Broderie ; commune	Broderie	8	8				
Broderie de toute sorte	Broderie	8	8		8	8	
Bronze	Bronze	6	6				
Brosseries	Brosseries	8	8				
Brosses et pinceaux	Brosses et pinceaux	8	8		6	6	
Brouettes	Brouettes	6	6				
Brousse fraiche	Brousse fraiche	0	0a	Fromage ?			
Brun ; rouge	Brun ; rouge	…	…				
Brustes ; à tisserand	Brustes ; à tisserand	…	...	Importation de Savoie – toile brut pour tisserands ? BD			
Bruyère	Bruyère	…	…				
Buffletin	Buffletin	8	8	Juste-corps confectionné dans du cuir de buffle du levant			
