marchandises_normalisees	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG	SITC_rev1	SITC_rev2	remarques_marchandises
"Bois ; de fustel"		""	""	"..."	"2"	"2"	""
"Bois ; de gayac"		""	""	"..."	"2"	"2"	""
"Bois ; de girofle"		""	""	""	""	""	""
"Bois ; de grenade"		""	""	""	""	""	""
"Bois ; de grenadier"		""	""	""	""	""	""
"Bois ; de géroffle"		""	""	"..."	"2"	"2"	""
"Bois ; de honduras"		""	""	"..."	"2"	"2"	""
"Bois ; de jayat"		""	""	""	""	""	""
"Bois ; de la chine"		""	""	""	""	""	""
"Bois ; de lettre"		""	""	""	""	""	""
"Bois ; de lin"		""	""	"..."	"2"	"2"	""
"Bois ; de lit"		""	""	""	""	""	""
"Bois ; de machandie marbre"		""	""	"..."	"2"	"2"	""
"Bois ; de marbre"		""	""	""	""	""	""
"Bois ; de marqueterie"		""	""	""	""	""	""
"Bois ; de marqueterie ; marbre"		""	""	""	""	""	""
"Bois ; de menuiserie"		""	""	""	""	""	""
"Bois ; de merrains"		""	""	""	""	""	""
"Bois ; de noyer"		""	""	""	""	""	""
"Bois ; de palisante"	2	"2"	"bois servant à tourner et embellir"	""	""	""	""
"Bois ; de palissandre"		""	""	""	""	""	""
"Bois ; de pernambouc"		""	""	""	""	""	""
"Bois ; de pin"		""	""	""	""	""	""
"Bois ; de romarin"	2	"2"	"bois servant à tourner et embellir"	""	""	""	""
"Bois ; de rose"		""	""	""	""	""	""
"Bois ; de rouage"		""	""	""	""	""	""
"Bois ; de rouage et ouvrages de charonerie"	2	"2"	""	""	""	""	""
"Bois ; de sandal"		""	""	"..."	"2"	"2"	""
"Bois ; de santal"		""	""	""	""	""	""
"Bois ; de santal ; moulu"		""	""	""	""	""	""
"Bois ; de sapan"		""	""	"..."	"2"	"2"	""
"Bois ; de sapin"		""	""	""	""	""	""
"Bois ; de sapin pour charpente"	2	"2"	""	""	""	""	""
"Bois ; de selles"	2	"2"	""	""	""	""	""
"Bois ; de terre"		""	""	""	""	""	""
"Bois ; de teure"		""	""	"..."	"2"	"2"	""
"Bois ; de toutes sortes"		""	""	""	""	""	""
"Bois ; de toutes sortes déclarés par valeur"	6	"6"	""	""	""	""	""
"Bois ; de violette"		""	""	""	""	""	""
"Bois ; des Iles"		""	""	""	""	""	""
"Bois ; dit 'ricter'"		""	""	""	""	""	""
"Bois ; dit schaelen ou rebus de Bois ;"	2	"2"	""	""	""	""	""
"Bois ; dit werres"	2	"2"	"werres, verris"	""	""	""	""
"Bois ; divers"		""	""	""	""	""	""
"Bois ; doré"		""	""	""	""	""	""
"Bois ; du Japon"		""	""	"..."	"2"	"2"	""
"Bois ; durci"		""	""	"..."	"2"	"2"	""
"Bois ; en barreaux"		""	""	"..."	"2"	"2"	""
"Bois ; en barreaux et planches"		""	""	""	""	""	""
"Bois ; en barres"		""	""	"..."	"2"	"2"	""
"Bois ; en feuillard et cercles"		""	""	""	""	""	""
"Bois ; en planches"		""	""	"..."	"2"	"2"	""
"Bois ; en tranches"		""	""	""	""	""	""
"Bois ; esparts"		""	""	"..."	"2"	"2"	""
"Bois ; et jus de réglisse"	5	"5"	""	""	""	""	""
"Bois ; et ouvrage de charonnerie"	6	"6"	""	""	""	""	""
"Bois ; fagots"		""	""	""	""	""	""
"Bois ; feuillard et en cercles"		""	""	""	""	""	""
"Bois ; fustel"		""	""	""	""	""	""
"Bois ; gro-cribles"		""	""	"..."	"2"	"2"	""
"Bois ; gros"		""	""	""	""	""	""
"Bois ; jaune"		""	""	""	""	""	""
"Bois ; marbré"		""	""	""	""	""	""
"Bois ; merrain"		""	""	""	""	""	""
"Bois ; merrain ; a busses"		""	""	""	""	""	""
"Bois ; merrain ; de sapin"		""	""	""	""	""	""
"Bois ; merrain ; à Sonds"		""	""	""	""	""	""
"Bois ; merrain ; à barils"		""	""	""	""	""	""
"Bois ; merrain ; à barriques"		""	""	""	""	""	""
"Bois ; merrain ; à bottes"		""	""	"..."	"2"	"2"	""
"Bois ; merrain ; à fonds"		""	""	""	""	""	""
"Bois ; merrain ; à pipes"		""	""	""	""	""	""
"Bois ; merrain ; à quarts"		""	""	""	""	""	""
"Bois ; merrain ; à tierçons"		""	""	""	""	""	""
"Bois ; merrain ; à tonneaux"		""	""	""	""	""	""
"Bois ; merrain ; à tortues"		""	""	"..."	"2"	"2"	""
"Bois ; neffretique"		""	""	"..."	"2"	"2"	""
"Bois ; néphrétique"		""	""	""	""	""	""
"Bois ; ouvré"		""	""	""	""	""	""
"Bois ; palissandre"		""	""	"..."	"2"	"2"	""
"Bois ; par arbalètes"	2	"2"	""	""	""	""	""
"Bois ; portatif dit Neyster"	2	"2"	"bois dit neister"	""	""	""	""
"Bois ; pour chaises"	2	"2"	""	""	""	""	""
"Bois ; pour cribles"		""	""	""	""	""	""
"Bois ; pour instruments de musique"	6	"6"	""	""	""	""	""
"Bois ; pour lattes"	2	"2"	""	""	""	""	""
"Bois ; pour palissades"		""	""	""	""	""	""
"Bois ; préparé pour charpente et autres ouvrages"	2	"2"	""	""	""	""	""
"Bois ; préparé pour fusils"	2	"2"	""	""	""	""	""
"Bois ; préparé pour ouvrages"		""	""	""	""	""	""
"Bois ; préparé pour palissades et terrasse"	2	"2"	""	""	""	""	""
"Bois ; rose"		""	""	"..."	"2"	"2"	""
"Bois ; rouge"		""	""	""	""	""	""
"Bois ; royal"		""	""	""	""	""	""
"Bois ; scié"	2	"2"	""	""	""	""	""
"Bois ; scié de toutes sortes declarés par valeur"		""	""	""	""	""	""
"Bois ; scié en pieds de gittes"		""	""	""	""	""	""
"Bois ; scié en verres"	2	"2"	""	""	""	""	""
"Bois ; tord"		""	""	""	""	""	""
"Bois ; tropique"	5	"5"	""	""	""	""	""
"Bois ; vernis"		""	""	""	""	""	""
"Bois ; violet"		""	""	"..."	"2"	"2"	""
"Bois ; à barils"		""	""	""	""	""	""
"Bois ; à brûler"		""	""	""	""	""	""
"Bois ; à bâtir"		""	""	""	""	""	""
"Bois ; à cribles"		""	""	"..."	"2"	"2"	""
"Bois ; à f.étusjs"		""	""	"..."	"2"	"2"	""
"Bois ; à faire boetes"		""	""	"..."	"2"	"2"	""
"Bois ; à faire corbin"		""	""	""	""	""	""
"Bois ; à faire des boîtes"		""	""	""	""	""	""
"Bois ; à faire des étuis"		""	""	""	""	""	""
"Bois ; à faire fourreaux d'épées"		""	""	""	""	""	""
"Bois ; à faire sommier"		""	""	""	""	""	""
"Bois ; à faire violons"		""	""	""	""	""	""
"Bois ; à faureau d'Epée"		""	""	"..."	"2"	"2"	""
"Bois ; à fourreau d'Epée"		""	""	""	""	""	""
"Bois ; à fre soureaux"		""	""	"..."	"2"	"2"	""
"Bois ; à fusils"		""	""	""	""	""	""
"Bois ; à meubles"		""	""	""	""	""	""
"Bois ; à tamis"		""	""	""	""	""	""
"Bois ; à teindre"		""	""	""	""	""	""
"Bois ; blanc à faire sabots"	2	"2"	""	""	""	""	""
"Bois ; d'acajou"	2	"2"	"bois servant à tourner et embellir"	""	""	""	""
"Bois ; d'arc et de fusils"	2	"2"	""	""	""	""	""
"Bois ; d'arcs"	2	"2"	""	""	""	""	""
"Bois ; d'arcs et d'arbalètes"	2	"2"	""	""	""	""	""
"Bois ; d'arcs et de selles"	2	"2"	""	""	""	""	""
"Bois ; de buis"	2	"2"	"bois servant à tourner et embellir"	""	""	""	""
"Bois ; de chêne, carré"		""	""	""	""	""	""
"Bois ; de chêne, ronde"	2	"2"	""	""	""	""	""
"Bois ; de construction"	2	"2"	""	""	""	""	""
"Bois ; de coudre et paniers dudit bois"	8	"8"	"bois de coudre et panniers dudit bois"	""	""	""	""
"Bois ; de cèdre"	2	"2"	"bois servant à tourner et embellir"	""	""	""	""
"Bois ; de flèches"	2	"2"	""	""	""	""	""
"Bois ; de flèches, arcs etc"	2	"2"	""	""	""	""	""
"Bois ; divers"		""	""	""	""	""	""
"Bois ; piles de"		""	""	""	""	""	""
"Bois ; préparé pour palissades"	2	"2"	""	""	""	""	""
"Bois ; scié en gites"	2	"2"	""	""	""	""	""
"Bois ; à baril non scié"	2	"2"	""	""	""	""	""
"Bois ; à bruler"	2	"2"	""	""	""	""	""
"Bois ; à teindre de toutes sortes"	5	"5"	""	""	""	""	""
"Bol"		""	""	""	""	""	""
"Bol ; d'Armenie"		""	""	"…"	"2"	"2"	""
"Bol ; d'Arménie"		""	""	""	""	""	""
"Boldavid"	6	"6a"	""	""	""	""	""
"Bol ; blanche"	6	"6b"	""	""	""	""	""
"Bombasin"		""	""	"cotton"	"6"	"6d"	""
"Bombes"		""	""	""	""	""	""
"Bombes de coton"		""	""	""	""	""	""
"Bombes et grenades"	9	"9"	""	""	""	""	""
"Bonnet ; de blonde"		""	""	"..."	"6"	"6a"	""
"Bonnet ; de coton"		""	""	""	""	""	""
"Bonnet ; de femme"		""	""	"…"	"6"	"6d"	""
"Bonnet ; de fil"		""	""	""	""	""	""
"Bonnet ; de fil et coton"	8	"8"	""	""	""	""	""
"Bonnet ; de laine"		""	""	""	""	""	""
"Bonnet ; de laine, fil et coton"	8	"8"	""	""	""	""	""
"Bonnet ; de peaux"	8	"8"	""	""	""	""	""
"Bonnet ; de postillons"	8	"8"	""	""	""	""	""
"Bonnet ; de prêtres"	8	"8"	""	""	""	""	""
"Bonnet ; de soie"		""	""	"…"	"6"	"6c"	""
"Bonnet ; de soye"	8	"8"	""	""	""	""	""
"Bonnet ; de toile"		""	""	""	""	""	""
"Bonnet ; de toile cirée"		""	""	""	""	""	""
"Bonnet ; de velours"		""	""	""	""	""	""
"Bonnet ; picques"	8	"8"	""	""	""	""	""
"Bonnet ; picques, carcasses et fers à coiffures"	8	"8"	""	""	""	""	""
"Bonnet ; piqués"		""	""	""	""	""	""
"Bonneterie"		""	""	""	""	""	""
"Bonneterie ; de bourre ; de fil"		""	""	""	""	""	""
"Bonneterie ; de bourre ; de soie"		""	""	""	""	""	""
"Bonneterie ; de coton"		""	""	"…"	"6"	"6d"	""
"Bonneterie ; de fil"		""	""	""	""	""	""
"Bonneterie ; de fil et coton"		""	""	""	""	""	""
"Bonneterie ; de fil, coton et laine"		""	""	""	""	""	""
"Bonneterie ; de filoselle"		""	""	""	""	""	""
"Bonneterie ; de filozelle"		""	""	"…"	"6"	"6"	""
"Bonneterie ; de laine"		""	""	""	""	""	""
"Bonneterie ; de soie"		""	""	""	""	""	""
"Bonneterie ; de soie et dorure"		""	""	""	""	""	""
"Bonneterie ; diverse"		""	""	""	""	""	""
"Bonnets ; d'enfans"	8	"8"	""	""	""	""	""
"Bonnets ; d'enfans, de velours et Bonnets ; à la postillonne"	8	"8"	""	""	""	""	""
"Bonnets ; de castor"	8	"8"	""	""	""	""	""
"Bonnets ; de grenadines"		""	""	"…"	"…"	"…"	""
"Bonnet ; de filosel"	8	"8"	""	""	""	""	""
"Borax"		""	""	"..."	"2"	"2"	""
"Bordages ; de chêne"		""	""	""	""	""	""
"Bordures ; dorées"		""	""	"..."	"8"	"8"	"Cadres ?"
"Bordures ; de tapisseries"	6	"6"	""	""	""	""	""
"Bottes"		""	""	""	""	""	""
"Bottes ; fortes"		""	""	""	""	""	""
"Bottes et bottines"		""	""	""	""	""	""
"Bottines"		""	""	""	""	""	""
"Boucassin"		""	""	"cotton"	"6"	"6d"	"Toile de coton"
"Bouchons ; de liège"		""	""	""	""	""	""
"Boucles"		""	""	""	""	""	""
"Boucles ; d'argent"		""	""	""	""	""	""
"Boucles ; d'oreilles"		""	""	""	""	""	""
"Boucles ; de cuivre"		""	""	""	""	""	""
"Boucles de fer"		""	""	"..."	"6"	"6"	""
"Boucles ; de Pinsbeck"	8	"8"	""	""	""	""	""
"Boucles ; de fer"		""	""	""	""	""	""
"Boudins de poisson"	0	"0a"	""	""	""	""	""
"Boue de sel"		""	""	""	""	""	""
"Bougie"		""	""	"..."	"8"	"8"	""
"Bougie ; blanche"		""	""	""	""	""	""
"Bougie ; jaune"		""	""	""	""	""	""
"Bougran"	6	"6"	""	""	""	""	""
"Bouguette"	0	"0a"	""	""	""	""	""
"Boulange"		""	""	""	""	""	""
"Boules ; de buis"		""	""	"..."	"8"	"8"	""
"Boules ; de mail"		""	""	""	""	""	""
"Boules ; vulneraires"		""	""	""	""	""	""
"Boules de bois"		""	""	""	""	""	""
"Boules ; de verre"	6	"6"	""	""	""	""	""
"Boulets ; de canon"		""	""	""	""	""	""
"Boulettes de marbre"		""	""	""	""	""	""
"Boulles ; d'acier"		""	""	""	""	""	""
"Boulles ; de bois"		""	""	""	""	""	""
"Bouracan"		""	""	""	""	""	""
"Bouras"	6	"6b"	"bouratte"	""	""	""	""
"Bourde"		""	""	""	""	""	""
"Bourdilles"		""	""	""	""	""	""
"Bourdillons"		""	""	""	""	""	""
"Bourre ; chiquette"		""	""	""	""	""	""
"Bourre ; de Levant"		""	""	""	""	""	""
"Bourre ; de beuf"		""	""	"..."	"2"	"2"	""
"Bourre ; de bœuf"		""	""	"..."	"2"	"2"	""
"Bourre ; de chèvre"		""	""	""	""	""	""
"Bourre ; de drap"		""	""	""	""	""	""
"Bourre ; de fil"		""	""	""	""	""	""
"Bourre ; de laine"		""	""	""	""	""	""
"Bourre ; de soie"		""	""	""	""	""	""
"Bourre ; à bâtir"		""	""	"..."	"2"	"2"	""
"Bourre-lanisse"		""	""	""	""	""	""
"Bourse"		""	""	""	""	""	""
"Bourse ; de Damas"		""	""	"..."	"8"	"8"	""
"Bourse ; de coton"		""	""	""	""	""	""
"Bourse ; de coton et fil"		""	""	""	""	""	""
"Bourse ; de fil"		""	""	""	""	""	""
"Bourse ; de soie"		""	""	"..."	"8"	"8"	""
"Bourse ; or et argent"		""	""	""	""	""	""
"Bourse ; à bartier"		""	""	""	""	""	""
"Bourse ; à butier"		""	""	"..."	"8"	"8"	""
"Bourse ; à chevaux"		""	""	""	""	""	""
"Bourse ; à cheveux"		""	""	"..."	"8"	"8"	""
"Boussoles"		""	""	""	""	""	""
"Boussolles"		""	""	"..."	"8"	"8"	""
"Boutannes"		""	""	""	""	""	""
"Bouteilles"		""	""	""	""	""	""
"Bouteilles ; de bois"		""	""	""	""	""	""
"Bouteilles ; de composition"		""	""	""	""	""	""
"Bouteilles ; de grez"		""	""	"..."	"6"	"6"	""
"Bouteilles ; de grès"		""	""	""	""	""	""
"Bouteilles ; de verre"		""	""	""	""	""	""
"Bouteilles ; cristal"		""	""	""	""	""	""
"Bouteilles ; de cristal et carafes"	6	"6"	""	""	""	""	""
"Boutonières ; d'or"		""	""	"..."	"6"	"6"	""
"Boutonnières ; d'or"		""	""	""	""	""	""
"Boutons ; d'acier"	8	"8"	""	""	""	""	""
"Boutons ; d'argent"		""	""	""	""	""	""
"Boutons ; d'argent sur bois"	8	"8"	""	""	""	""	""
"Boutons ; d'or"		""	""	""	""	""	""
"Boutons ; d'or ; faux"		""	""	"..."	"8"	"8"	""
"Boutons ; d'or et d'argent"		""	""	""	""	""	""
"Boutons ; d'or faux"	8	"8"	""	""	""	""	""
"Boutons ; d'os"	8	"8"	""	""	""	""	""
"Boutons ; d'os et de cornes"	8	"8"	""	""	""	""	""
"Boutons ; d'étain"		""	""	""	""	""	""
"Boutons ; de Pinsbeck"		""	""	""	""	""	""
"Boutons ; de bois de coco"	8	"8"	""	""	""	""	""
"Boutons ; de coco"		""	""	""	""	""	""
"Boutons ; de cocq"	8	"8"	""	""	""	""	""
"Boutons ; de cornes"	8	"8"	""	""	""	""	""
"Boutons ; de coton"		""	""	"..."	"8"	"8"	""
"Boutons ; de crin"		""	""	""	""	""	""
"Boutons ; de cristal"		""	""	""	""	""	""
"Boutons ; de cuivre"		""	""	""	""	""	""
"Boutons ; de cuivre argenté et dorée"	8	"8"	""	""	""	""	""
"Boutons ; de cuivre doré"	8	"8"	""	""	""	""	""
"Boutons ; de cuivre et d'étain"	8	"8"	""	""	""	""	""
"Boutons ; de cuivre et d'étain argentés"	8	"8"	""	""	""	""	""
"Boutons ; de cuivre sur bois"	8	"8"	""	""	""	""	""
"Boutons ; de cuivre sur bois, d'os de cocq et de cornes"	8	"8"	""	""	""	""	""
"Boutons ; de fil"		""	""	""	""	""	""
"Boutons ; de fil blanc"		""	""	""	""	""	""
"Boutons ; de fil d'argent"		""	""	"..."	"8"	"8"	""
"Boutons ; de fil d'or"		""	""	""	""	""	""
"Boutons ; de fil d'or et d'argent"		""	""	""	""	""	""
"Boutons ; de fil de poil de chevre"	8	"8"	""	""	""	""	""
"Boutons ; de fil or et argent"		""	""	""	""	""	""
"Boutons ; de jais"		""	""	""	""	""	""
"Boutons ; de jayet"	8	"8"	""	""	""	""	""
"Boutons ; de laiton"		""	""	""	""	""	""
"Boutons ; de manches"		""	""	""	""	""	""
"Boutons ; de métal"		""	""	""	""	""	""
"Boutons ; de métal doré"	8	"8"	""	""	""	""	""
"Boutons ; de nacre"		""	""	""	""	""	""
"Boutons ; de nacre de perle"		""	""	""	""	""	""
"Boutons ; de nacre de perle et jayet"	8	"8"	""	""	""	""	""
"Boutons ; de poil"		""	""	"..."	"8"	"8"	""
"Boutons ; de poil ; de chèvre"		""	""	""	""	""	""
"Boutons ; de soie"		""	""	""	""	""	""
"Boutons ; de soie à poil"		""	""	"..."	"8"	"8"	""
"Boutons ; de soye"	8	"8"	""	""	""	""	""
"Boutons ; de tombacq doré"	8	"8"	""	""	""	""	""
"Boutons ; de trait d'or et d'argent fin"	8	"8"	"boutons de fil d'or et d'argent fin"	""	""	""	""
"Boutons ; divers"		""	""	""	""	""	""
"Boutons ; dorure ; d'argent"		""	""	""	""	""	""
"Boutons ; dorure ; d'or et d'argent"		""	""	""	""	""	""
"Boutons ; dorure ; d'or faux"		""	""	"..."	"8"	"8"	""
"Boutons ; dorure ; d'or fin"		""	""	"..."	"8"	"8"	""
"Boutons ; masquinés"		""	""	""	""	""	""
"Boutons ; à pierres ; fausses"		""	""	""	""	""	""
"Bouts ; de corne"		""	""	"..."	"2"	"2"	""
"Boutty"		""	""	""	""	""	""
"Boyaux ; salés"		""	""	"..."	"0"	"0a"	""
"Boëtes"		""	""	"..."	"6"	"6"	""
"Boëtes ; blanches"		""	""	"..."	"6"	"6"	""
"Boëtes ; de bergamote"		""	""	"..."	"6"	"6"	""
"Boëtes ; de bois"		""	""	"..."	"6"	"6"	""
"Boëtes ; de carton"		""	""	"..."	"6"	"6"	""
"Boëtes ; de sapin"		""	""	"..."	"6"	"6"	""
"Boîtes"		""	""	""	""	""	""
"Boîtes ; blanches"		""	""	""	""	""	""
"Boîtes ; de bergamote"		""	""	""	""	""	""
"Boîtes ; de bois"		""	""	""	""	""	""
"Boîtes ; de carton"		""	""	""	""	""	""
"Boîtes ; de sapin"		""	""	""	""	""	""
"Boîtes ; de Nuremberg"	6	"6"	""	""	""	""	""
"Brai, goudron et résine"		""	""	""	""	""	""
"Brai, goudron, poix et résine"		""	""	"..."	"5"	"5"	""
"Brancards ; de fer"		""	""	""	""	""	""
"Brandans"		""	""	""	""	""	""
"Brandebourgs"		""	""	""	""	""	""
"Brandebourgs ; d'or"		""	""	"..."	"8"	"8"	""
"Brandebourgs ; de fil"		""	""	"…"	"8"	"8"	""
"Bras ; de cheminée"		""	""	""	""	""	""
"Brasselets"	8	"8"	""	""	""	""	""
"Braule"		""	""	""	""	""	""
"Bray"		""	""	"..."	"5"	"5"	""
"Bray ; Poix blanche et noire"		""	""	""	""	""	""
"Bray ; Soix blanche et noire"		""	""	"..."	"5"	"5"	""
"Bray ; goudron"		""	""	""	""	""	""
"Bray ; goudron et résine"		""	""	""	""	""	""
"Bray ; gras"		""	""	""	""	""	""
"Bray ; raze"		""	""	""	""	""	""
"Bray ; résine"		""	""	""	""	""	""
"Bray ; sec"		""	""	""	""	""	""
"Bray et goudron"		""	""	""	""	""	""
"Bray ; à brasser"	0	"0a"	""	""	""	""	""
"Brebis"		""	""	""	""	""	""
"Brian"		""	""	""	""	""	""
"Brigadis"		""	""	"..."	"6"	"6"	"Sorte de cuir (qu’on fabrique aussi en Dauphiné) (BD)"
"Brignoles"	0	"0a"	""	""	""	""	""
"Briques"	6	"6"	""	""	""	""	""
"Briquets"		""	""	"..."	"8"	"8"	""
"Bris d'espars"		""	""	"..."	"2"	"2"	""
"Brochets"		""	""	""	""	""	""
"Broderie"		""	""	""	""	""	""
"Broderie de toute sorte"	8	"8"	""	""	""	""	""
"Bronze"		""	""	""	""	""	""
"Brosseries"		""	""	""	""	""	""
"Brosses et pinceaux"	6	"6"	""	""	""	""	""
"Brouettes"		""	""	""	""	""	""
"Brousse fraiche"		""	""	""	""	""	""
"Brun ; rouge"		""	""	""	""	""	""
"Brustes ; à tisserand"		""	""	"..."	"..."	"..."	"Importation de Savoie – toile brut pour tisserands ? BD"
"Bruyere"		""	""	"..."	"2"	"2"	""
"Bruyère"	0	"0"	""	""	""	""	""
"Buffletin"		""	""	"..."	"8"	"8"	"Juste-corps confectionné dans du cuir de buffle du levant"
"Burat"		""	""	""	""	""	""
"Bure"		""	""	""	""	""	""
"Bure ; étoffe"		""	""	"..."	"6"	"6b"	""
"Bureaux"		""	""	""	""	""	""
"Bureaux ; de noyer"		""	""	""	""	""	""
"Bures ; de sangliers"	0	"0a"	"hurne de sanglier"	""	""	""	""
"Bâtons ; de Gabares"		""	""	""	""	""	""
"Bâtons ; de Gaffes"		""	""	""	""	""	""
"Bâtons ; de colliers"		""	""	""	""	""	""
"Bâtons ; de sapin"		""	""	""	""	""	""
"Bâtons ; peints"		""	""	""	""	""	""
"Bâtons ; vernis"		""	""	""	""	""	""
"Bâtons ; à chandelle"		""	""	""	""	""	""
"Bâtons ; à lave-place"		""	""	""	""	""	""
"Bâtons à faire cercles"	6	"6"	""	""	""	""	""
"Bécasses"	0	"0a"	""	""	""	""	""
"Bécassines"		""	""	""	""	""	""
"Bétail ; chèvres"		""	""	""	""	""	""
"Bézoard"		""	""	""	""	""	""
"Bêtes de somme ; chevaux"		""	""	""	""	""	""
"Bêtes de somme ; divers"		""	""	""	""	""	""
"Bêtes de somme ; diverses"		""	""	"..."	"0"	"0a"	""
"Bêtes de somme ; juments"		""	""	""	""	""	""
"Bêtes de somme ; mules et mulets"		""	""	""	""	""	""
"Bêtes de somme ; mules, mulets et chevaux"		""	""	""	""	""	""
"Bêtes de somme ; mulets"		""	""	""	""	""	""
"Bêtes de somme ; poulains"		""	""	"..."	"0"	"0a"	""
"Bêtes de somme ; ânes"		""	""	""	""	""	""
"Bêtes de somme : agneaux et cabrits"	0	"0a"	""	""	""	""	""
"Bêtes de somme : agneaux et crottelins"	2	"2"	"laine d'agnelin et escrottin"	""	""	""	""
"Bœuf ; en vie"		""	""	""	""	""	""
"Bœuf ; salé"		""	""	""	""	""	""
"Bœuf ; à l'Ecarlate"		""	""	""	""	""	""
"Bœuf ; à la daube"		""	""	""	""	""	""
"Bœuf ; à la mode"		""	""	""	""	""	""
"Bœufs ; en vie"		""	""	""	""	""	""
"Bœufs ; fumé"		""	""	""	""	""	""
"Bœufs ; salé"		""	""	"..."	"0"	"0a"	""
"Bœufs ; à la daube"		""	""	"..."	"0"	"0a"	""
"Bœufs et taureaux"	0	"0a"	""	""	""	""	""
"Cabarets"		""	""	"..."	"8"	"8"	""
"Cabarets ; vernis"		""	""	""	""	""	""
"Cabas"		""	""	""	""	""	""
"Cabas ; de joncs"		""	""	""	""	""	""
"Cabas ; de palmes"		""	""	""	""	""	""
"Cabillauds"		""	""	""	""	""	""
"Cables"		""	""	"..."	"6"	"6"	""
"Cables ; de Navire"		""	""	"..."	"7"	"7"	""
"Caboches"		""	""	""	""	""	""
"Cabriolets"		""	""	""	""	""	""
"Cacao"		""	""	""	""	""	""
"Cacao ; étranger"		""	""	"Cacao"	"0"	"0b"	""
"Cacao ; beurre de"		""	""	""	""	""	""
"Cachets ; d'argent"		""	""	""	""	""	""
"Cachou"		""	""	""	""	""	""
"Cadenas"		""	""	""	""	""	""
"Cadenats"		""	""	"..."	"6"	"6"	""
"Cadis"		""	""	""	""	""	""
"Cadres ; de bois"		""	""	"..."	"8"	"8"	""
"Cadres ; dorés"		""	""	""	""	""	""
"Cafetières"		""	""	""	""	""	""
"Caffards ; carpettes et ligatures"	6	"6b"	""	""	""	""	""
"Caffar ; blanc"	6	"6b"	""	""	""	""	""
"Caffar ; de laine"	6	"6b"	""	""	""	""	""
"Café"		""	""	"Café"	"0"	"0b"	""
"Café ; Ordinaire"		""	""	"Café"	"0"	"0b"	""
"Café ; Ordinaire ; Etranger"		""	""	"Café"	"0"	"0b"	""
"Café ; Ordinaire ; de Levant"		""	""	"Café"	"0"	"0b"	""
"Café ; de Bourbon"		""	""	"Café"	"0"	"0b"	""
"Café ; de Levant"		""	""	""	""	""	""
"Café ; de Moka"		""	""	"Café"	"0"	"0b"	""
"Café ; des Iles"		""	""	"Café"	"0"	"0b"	""
"Cages"		""	""	""	""	""	""
"Cages d'oiseau"		""	""	"..."	"6"	"6"	""
"Cailles"	0	"0a"	""	""	""	""	""
"Cailloux"		""	""	"…"	"2"	"2"	""
"Caisses ; à carafons"		""	""	""	""	""	""
"Caisses ; de carosses"	7	"7"	""	""	""	""	""
"Caisses ; et têtes de carton"	6	"6"	""	""	""	""	""
"Caisses ; vides"	6	"6"	""	""	""	""	""
"Caladaris"		""	""	""	""	""	""
"Calamine"	6	"6"	""	""	""	""	""
"Calamus"		""	""	""	""	""	""
"Calamus ; aromatisé"		""	""	"..."	"2"	"2"	""
"Calandrine"		""	""	""	""	""	""
"Callemande"		""	""	""	""	""	""
"Calottes"		""	""	""	""	""	""
"Calottes et sacs de papier"	6	"6"	""	""	""	""	""
"Calèches"		""	""	""	""	""	""
"Calêches"		""	""	"..."	"7"	"7"	""
"Cambaye"		""	""	""	""	""	""
"Cambouis"		""	""	""	""	""	""
"Cambray"	6	"6a"	""	""	""	""	""
"Camelot"		""	""	""	""	""	""
"Camelot ; a peu de soye"		""	""	""	""	""	""
"Camelot ; au quart"		""	""	""	""	""	""
"Camelot ; burail"		""	""	""	""	""	""
"Camelot ; d'Amiens"		""	""	""	""	""	""
"Camelot ; d'Auvergne"		""	""	""	""	""	""
"Camelot ; d'Hollande"		""	""	""	""	""	""
"Camelot ; d'amiens"		""	""	"..."	"6"	"6b"	""
"Camelot ; d'auvergne"		""	""	"..."	"6"	"6b"	""
"Camelot ; de laine"		""	""	""	""	""	""
"Camelot ; de poil"		""	""	"..."	"6"	"6b"	""
"Camelot ; de soie"		""	""	""	""	""	""
"Camelot ; de soye"		""	""	"silk fabrics"	"6"	"6c"	""
"Camelot ; de terine"		""	""	"..."	"6"	"6b"	""
"Camelot ; de terrine"		""	""	""	""	""	""
"Camelot ; des Indes"		""	""	""	""	""	""
"Camelot ; mi soie"		""	""	""	""	""	""
"Camelot ; my soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Camelot ; poil et laine"		""	""	""	""	""	""
"Camelot ; poil et soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Camelot ; petit dit de Berlin"	6	"6b"	""	""	""	""	""
"Camisolles"		""	""	""	""	""	""
"Camphre"	5	"5"	""	""	""	""	""
"Canards"	0	"0a"	""	""	""	""	""
"Canaris ou serins"	9	"9"	"oiseaux, serins et canaris"	""	""	""	""
"Candetas"		""	""	""	""	""	""
"Canefices"		""	""	""	""	""	""
"Canefiée"		""	""	""	""	""	""
"Canelle"		""	""	"..."	"0"	"0b"	""
"Canelle ; gerofflée"		""	""	"..."	"0"	"0b"	""
"Canetilles ; d'or faux"		""	""	""	""	""	""
"Caneva"		""	""	""	""	""	""
"Canevettes"		""	""	""	""	""	""
"Cannelle"	0	"0b"	""	""	""	""	""
"Cannelle ; gerofflée"		""	""	""	""	""	""
