marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_rg	marchandises	marchandises_normalisees_inter	product_prix	dutchtranslation	englishproduct	unit	source_RG_1774	source_RGbase	source_France	_merge
"Asperges et scorsionnaires"	"Asperges"	"0"	"0a"	""		""	""	""	"asperges et scorsionnaires"	"Asperges et scorsionnaires"	""	"asperges"	"asparragus"	"bundle"	1	1	0	"matched (3)"
"Asphalte"	"Asphalte"	"2"	"2"	""		""	""	""	"Asphaltum"	"Asphalte"	""	""	""	""	0	0	1	"matched (3)"
"Assa fétide"	"Assa fétide"	"2"	"2"	""		""	""	""	"Assafetida"	"Assa fétide"	""	""	""	""	0	0	1	"matched (3)"
"Assiette de fayence"	"Assiette de fayence"	"6"	"6"	""		""	""	""	"assiettes de fayence"	"Assiette de fayence"	""	"faïence (borden)"	"earthenware (plates)"	"pieces"	1	0	0	"matched (3)"
"Attelles ; de colliers"	"Attelles ; de colliers"	"7"	"7"	""		""	""	""	"Attelles de collier"	"Attelles ; de colliers"	""	""	""	""	0	0	1	"matched (3)"
"Avelines"	"Avelines"	"0"	"0a"	"Grosse noisette"		""	""	""	"Aviron"	"Avelines"	""	""	""	""	0	0	1	"matched (3)"
"Avirons"	"Avirons"	"7"	"7"	""		""	""	""	"Avirons"	"Avirons"	""	""	""	""	0	0	1	"matched (3)"
"Avoine"	"Avoine"	"0"	"0a"	""		""	""	""	"Avoine ; mondée"	"Avoine"	""	""	""	""	0	0	1	"matched (3)"
"Avoine, gruau"	"Avoine, gruau"	"0"	"0a"	""	0	"0a"	""	""	"gruau d'avoine"	"Avoine, gruau"	""	"gort"	"groats"	"pounds"	1	0	0	"matched (3)"
"Avoine ; en jarbes"	"Avoine ; en jarbes"	"0"	"0a"	""		""	""	""	"avoine en jarbes"	"Avoine ; en jarbes"	"oats"	"granen (alle soorten in schoven) - haver"	"oats in sheaves"	""	1	1	0	"matched (3)"
"Babouches"	"Babouches"	"8"	"8"	""		""	""	""	"Babouchar"	"Babouches"	""	""	""	""	0	0	1	"matched (3)"
"Babus"	"Babus"	"0"	"0a"	"Barbus (poisson)?"		""	""	"..."	"Babus"	"Babus"	""	""	""	""	0	0	1	"matched (3)"
"Bacs contenant 1 aime"	"Bacs contenant 1 aime"	"6"	"6"	""	6	"6"	""	""	"bacs contenant 1 aime"	"Bacs contenant 1 aime"	""	"stenen kuipen van 1 aam"	"stone tubs of 1 'aime'"	"pieces"	1	0	0	"matched (3)"
"Bacs de pierre"	"Bacs de pierre"	"6"	"6"	""		""	""	""	"bacs de pierre de 1/2 d'aime"	"Bacs de pierre de 1/2 d'aime"	""	"stenen kuipen van 1/2 aam"	"stone tubs of 0,5 'aime'"	"pieces"	1	1	0	"matched (3)"
"Badiane"	"Badiane"	"5"	"5"	""	5	"5"	""	""	"badiane"	"Badiane"	""	"badiane"	"star anise"	"pounds"	1	0	0	"matched (3)"
"Baffetas"	"Baffetas"	"6"	"6d"	"Toile grosse de coton"		""	""	""	"Baffetas"	"Baffetas"	""	""	""	""	0	0	1	"matched (3)"
"Bagues"	"Bagues"	"8"	"8"	""		""	""	""	"Bagues"	"Bagues"	""	""	""	""	0	0	1	"matched (3)"
"Bagues ; de cuivre"	"Bagues ; de cuivre"	"8"	"8"	""		""	""	""	"Bagues ; de cuivre"	"Bagues ; de cuivre"	""	""	""	""	0	0	1	"matched (3)"
"Bagues ; de laiton"	"Bagues ; de laiton"	"8"	"8"	""		""	""	""	"Bagues ; de leton"	"Bagues ; de laiton"	""	""	""	""	0	0	1	"matched (3)"
"Baguettes ; de fusils"	"Baguettes ; de fusils"	"6"	"6"	""		""	""	""	"Baguettes de fusils"	"Baguettes ; de fusils"	""	""	""	""	0	0	1	"matched (3)"
"Baguettes ; à chandelle"	"Baguettes ; à chandelle"	"6"	"6"	""		""	""	""	"Baguettes ; à chandelle"	"Baguettes ; à chandelle"	""	""	""	""	0	0	1	"matched (3)"
"Baguettes ; étoffe"	"Baguettes ; étoffe"	"6"	"6"	""		""	""	""	"Baguette étoffe"	"Baguettes ; étoffe"	""	""	""	""	0	0	1	"matched (3)"
"Bahuts"	"Bahuts"	"8"	"8"	""		""	""	""	"Bahus"	"Bahuts"	""	""	""	""	0	0	1	"matched (3)"
"Baignes"	"Baignes"	"…"	"…"	""		""	""	""	"Baigues"	"Baignes"	""	""	""	""	0	0	1	"matched (3)"
"Bailliarge"	"Bailliarge"	"0"	"0a"	"Espèce d'orge qui vient de l'Angoumois ou du Poitou"		""	""	""	"Bailliarge"	"Bailliarge"	""	""	""	""	0	0	1	"matched (3)"
"Bajutapeau"	"Bajutapeau"	"6"	"6d"	"Toile de coton destinée au commerce de la Traite"		""	""	""	"Bajutapeaux"	"Bajutapeau"	""	""	""	""	0	0	1	"matched (3)"
"Balais"	"Balais"	"8"	"8"	""		""	""	""	"Balais; de bruyeres"	"Balais"	""	""	""	""	0	0	1	"matched (3)"
"Balais ; coupée"	"Balais"	"8"	"8"	""		""	""	""	"Balais ; coupée"	"Balais ; coupée"	""	""	""	""	0	0	1	"matched (3)"
"Balais ; de bois"	"Balais"	"8"	"8"	""		""	""	""	"Balais ; de bois"	"Balais ; de bois"	""	""	""	""	0	0	1	"matched (3)"
"Balais ; de bruyère"	"Balais"	"8"	"8"	""		""	""	"..."	"Balais ; de bruyere"	"Balais ; de bruyère"	""	""	""	""	0	0	1	"matched (3)"
"Balais ; de crin"	"Balais"	"8"	"8"	""		""	""	""	"Balais ; de crin"	"Balais ; de crin"	""	""	""	""	0	0	1	"matched (3)"
"Balais ; de joncs"	"Balais"	"8"	"8"	""		""	""	""	"Balais ; de palme"	"Balais ; de jongs"	""	""	""	""	0	0	1	"matched (3)"
"Balais ; de palmes"	"Balais"	"8"	"8"	""		""	""	"..."	"Balais ; de palmes"	"Balais ; de palmes"	""	""	""	""	0	0	1	"matched (3)"
"Balais ; de riz"	"Balais"	"8"	"8"	""		""	""	""	"Balais ; de ris"	"Balais ; de riz"	""	""	""	""	0	0	1	"matched (3)"
"Balais ; de soie"	"Balais"	"8"	"8"	""		""	""	""	"Balais ; de soye"	"Balais ; de soie"	""	""	""	""	0	0	1	"matched (3)"
"Balais, petits"	"Balais"	"8"	"8"	"petits balais de bruyere"	6	"6"	"petits balais de bruyere"	""	"petits balais"	"Balais, petits"	""	"bezems (kleine)"	"small brooms"	"guilders"	1	0	0	"matched (3)"
"Balance"	"Balance"	"6"	"6"	""	6	"6"	""	"..."	"balances"	"Balance"	""	"weegschalen"	"scales"	"guilders"	1	0	0	"matched (3)"
"Baleine"	"Baleine"	"0"	"0a"	""		""	""	""	"Baleine"	"Baleine"	""	""	""	""	0	0	1	"matched (3)"
"Baleine ; coupée"	"Baleine"	"0"	"0a"	""		""	""	""	"Baleine; coupée"	"Baleine ; coupée"	""	""	""	""	0	0	1	"matched (3)"
"Baleine ; de sardes"	"Baleine"	"0"	"0a"	""		""	""	""	"Baléine ; de sardes"	"Baleine ; de sardes"	""	""	""	""	0	0	1	"matched (3)"
"Baleine ; en fanon"	"Baleine"	"0"	"0a"	""		""	""	""	"Baleine ; en Fanon"	"Baleine ; en fanon"	""	""	""	""	0	0	1	"matched (3)"
"Balles d'osier"	"Balles d'osier"	"8"	"8"	""		""	""	""	"Balles d'ozier"	"Balles d'osier"	""	""	""	""	0	0	1	"matched (3)"
"Balles ; à jouer"	"Balles ; à jouer"	"8"	"8"	"balles à jouer à la paume ou à la crosse"	8	"8"	"balles à jouer à la paume ou à la crosse"	""	"balles à jouer"	"Balles ; à jouer"	""	"speelballen"	"balls for playing"	"gros"	1	1	0	"matched (3)"
"Balustre"	"Balustre"	"8"	"8"	""		""	""	""	"Balaustres"	"Balustre"	""	""	""	""	0	0	1	"matched (3)"
"Bandeaux"	"Bandeaux"	"6"	"6"	""		""	""	""	"Bandeaux"	"Bandeaux"	""	""	""	""	0	0	1	"matched (3)"
"Banderoles"	"Banderoles"	"8"	"8"	""	8	"8"	""	""	"banderoles"	"Banderoles"	""	"wimpels"	"pennons"	"pieces"	1	0	0	"matched (3)"
"Baquets de sapin"	"Baquets de sapin"	"8"	"8"	""		""	""	""	"Baquets de sapin"	"Baquets de sapin"	""	""	""	""	0	0	1	"matched (3)"
"Baracan"	"Baracan"	"6"	"6b"	"étoffe de laine"		""	""	""	"baracan"	"Baracan"	"baracan"	"barkan"	"barracan"	"guilders"	1	1	0	"matched (3)"
"Barbaçons ; de grès"	"Barbaçons ; de grès"	"6"	"6"	""		""	""	""	"Barbaçons ; de grez"	"Barbaçons ; de grès"	""	""	""	""	0	0	1	"matched (3)"
"Barbes ; de baleine"	"Barbes ; de baleine"	"0"	"0a"	"partie du fanon des baleines"		""	""	""	"Barbe ; de baleine"	"Barbes ; de baleine"	""	""	""	""	0	0	1	"matched (3)"
"Barbotines"	"Barbotines"	"2"	"2"	""		""	""	""	"Barbotines"	"Barbotines"	""	""	""	""	0	0	1	"matched (3)"
"Barils"	"Barils"	"6"	"6"	""		""	""	""	"Barileaux"	"Barils"	""	""	""	""	0	0	1	"matched (3)"
"Barils ; vides"	"Barils ; vides"	"6"	"6"	""		""	""	""	"Barils vuides"	"Barils ; vides"	""	""	""	""	0	0	1	"matched (3)"
"Bariteau"	"Bariteau"	"6"	"6b"	"étoffe de laine et fil qui sert à tamiser"		""	""	""	"Bariteau"	"Bariteau"	""	""	""	""	0	0	1	"matched (3)"
"Baromètre"	"Baromètre"	"8"	"8"	""		""	""	"..."	"Baromettre"	"Baromètre"	""	""	""	""	0	0	1	"matched (3)"
"Barquettes"	"Barquettes"	"6"	"6"	""	7	"7"	""	""	"barquettes"	"Barquettes"	""	"schuiten"	"barquettes"	"guilders"	1	1	0	"matched (3)"
"Barquettes et nacelles"	"Barquettes"	"7"	"7"	""	7	"7"	""	""	"barquettes et nacelles"	"Barquettes et nacelles"	""	"schuiten (nacelles)"	"nacelles"	"guilders"	1	0	0	"matched (3)"
"Barquettes vieilles"	"Barquettes"	"7"	"7"	""	7	"7"	""	""	"barquettes vieilles"	"Barquettes vieilles"	""	"schuiten (oude)"	"old barquettes"	"pieces"	1	0	0	"matched (3)"
"Barres ; d'anspects"	"Barres ; de bois"	"2"	"2"	""		""	""	""	"Barres ; d'anspects"	"Barres ; d'anspects"	""	""	""	""	0	0	1	"matched (3)"
"Barres ; de bois"	"Barres ; de bois"	"2"	"2"	""		""	""	""	"Barres; de bois"	"Barres ; de bois"	""	""	""	""	0	0	1	"matched (3)"
"Barres ; de cabestan"	"Barres ; de bois"	"2"	"2"	""		""	""	""	"Barres decabestan"	"Barres ; de cabestan"	""	""	""	""	0	0	1	"matched (3)"
"Barres ; de sapin"	"Barres ; de bois"	"2"	"2"	""		""	""	""	"Barres ; de sapin"	"Barres ; de sapin"	""	""	""	""	0	0	1	"matched (3)"
"Barres ; pous édifiées"	"Barres ; de bois"	"2"	"2"	""		""	""	""	"Barres ; pous édifiées"	"Barres ; pous édifiées"	""	""	""	""	0	0	1	"matched (3)"
"Barrettes"	"Barrettes"	"8"	"8"	""		""	""	""	"Barettes"	"Barrettes"	""	""	""	""	0	0	1	"matched (3)"
"Barriques"	"Barriques"	"6"	"6"	""		""	""	""	"Bariques"	"Barriques"	""	""	""	""	0	0	1	"matched (3)"
"Barriques ; vieilles"	"Barriques"	"6"	"6"	""		""	""	""	"Bariques ; vieilles"	"Barriques ; vieilles"	""	""	""	""	0	0	1	"matched (3)"
"Barrois"	"Barrois"	"8"	"8"	""		""	""	""	"Barrois"	"Barrois"	""	""	""	""	0	0	1	"matched (3)"
"Bas"	"Bas"	"8"	"8"	""		""	""	""	"Bas"	"Bas"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; assortis"	"Bas"	"8"	"8"	""		""	""	"..."	"Bas ; assortis"	"Bas ; assortis"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; coton"	"Bas"	"8"	"8"	""		""	""	""	"Bas ; coton"	"Bas ; coton"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; coton et fil"	"Bas"	"8"	"8"	""		""	""	""	"Bas ; coton et fil"	"Bas ; coton et fil"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; d'Estame"	"Bas"	"8"	"8"	""		""	""	""	"Bas ; d'Estame"	"Bas ; d'Estame"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; de castor"	"Bas"	"8"	"8"	""		""	""	""	"Bas ; de castor"	"Bas ; de castor"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; de chamois"	"Bas"	"8"	"8"	""		""	""	"..."	"Bas; de chamois"	"Bas ; de chamois"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; de coton"	"Bas"	"8"	"8"	""		""	""	""	"bas de cotton"	"Bas ; de coton"	""	"kousen (katoen)"	"cotton socks"	"pair"	1	1	0	"matched (3)"
"Bas ; de fil"	"Bas"	"8"	"8"	""		""	""	"..."	"Bas; de fil"	"Bas ; de fil"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; de fil et coton"	"Bas"	"8"	"8"	""	8	"8"	""	""	"Bas ; de fil à coton"	"Bas ; de fil et coton"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; de filoselle"	"Bas"	"8"	"8"	""		""	""	""	"Bas ; de filozelle"	"Bas ; de filoselle"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; de fleuret"	"Bas"	"8"	"8"	""		""	""	""	"Bas; de fleures"	"Bas ; de fleuret"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; de laine"	"Bas"	"8"	"8"	""		""	""	""	"Bas ; de lain"	"Bas ; de laine"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; de peau"	"Bas"	"8"	"8"	""		""	""	"..."	"Bas ; de peaux"	"Bas ; de peau"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; de soie"	"Bas"	"8"	"8"	""		""	""	""	"Bas; de soye"	"Bas ; de soie"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; de soie ; à coins d'or"	"Bas"	"8"	"8"	""		""	""	""	"Bas ; de soye ; à coins d'or"	"Bas ; de soie ; à coins d'or"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; drapés"	"Bas"	"8"	"8"	""		""	""	""	"Bas ; drapés"	"Bas ; drapés"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; et bonnets de coton"	"Bas"	"8"	"8"	""		""	""	""	"Bas ; et bonets de coton"	"Bas ; et bonnets de coton"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; soie et laine"	"Bas"	"8"	"8"	""		""	""	""	"Bas ; soye et laine"	"Bas ; soie et laine"	""	""	""	""	0	0	1	"matched (3)"
"Bas ; soie et poil"	"Bas"	"8"	"8"	""		""	""	""	"Bas ; soye et poil"	"Bas ; soie et poil"	""	""	""	""	0	0	1	"matched (3)"
"Bas, gants et bonnets de laine"	"Bas, gants et bonnets de laine"	"8"	"8"	""	8	"8"	""	""	"bas, gants et bonnets de laine"	"Bas, gants et bonnets de laine"	""	"kousen, handschoenen en mutsen (wol)"	"socks, gloves and bonnets (wool)"	"guilders"	1	1	0	"matched (3)"
"Bas, gants et bonnets de laine, fil et coton"	"Bas, gants et bonnets de laine, fil et coton"	"8"	"8"	""	8	"8"	""	""	"bas, gants et bonnets de laine, fil et cotton"	"Bas, gants et bonnets de laine, fil et cotton"	""	"kousen, handschoenen en mutsen per dozijn"	"socks, gloves and bonnets (wool, yarn and cotton)"	"dozen"	1	0	0	"matched (3)"
"Basannes"	"Basannes"	"6"	"6d"	""		""	""	""	"Bazannes"	"Basannes"	""	""	""	""	0	0	1	"matched (3)"
"Basannes ; tannées"	"Basannes ; tannées"	"6"	"6d"	""		""	""	""	"Bazannes tannées"	"Basannes ; tannées"	""	""	""	""	0	0	1	"matched (3)"
"Basin"	"Basin"	"6"	"6d"	""		""	""	""	"basin"	"Basin"	""	"bombazijn"	"dimity"	"pieces"	1	1	0	"matched (3)"
"Basin ; blanc"	"Basin"	"6"	"6d"	""	6	"6d"	""	""	"basin blanc"	"Basin ; blanc"	""	"bombazijn (wit)"	"white dimity"	"ell"	1	0	0	"matched (3)"
"Basin ; en aunes"	"Basin"	"6"	"6d"	""	6	"6d"	""	""	"basin en aunes"	"Basin ; en aunes"	""	"bombazijn/el"	"dimity"	"guilders"	1	0	0	"matched (3)"
"Basin ; peint"	"Basin"	"6"	"6d"	""	6	"6d"	""	""	"basin peint"	"Basin ; peint"	""	"bombazijn (geverfd)"	"dyed dimity"	"ell"	1	0	0	"matched (3)"
"Basin ; rayé"	"Basin"	"6"	"6d"	""	6	"6d"	""	""	"basin rayé"	"Basin ; rayé"	""	"bombazijn (gestreept)"	"striped dimity"	"pieces"	1	0	0	"matched (3)"
"Basse ; de viole"	"Instruments de musique"	"8"	"8"	""		""	""	""	"Basse ; de violle"	"Basse ; de viole"	""	""	""	""	0	0	1	"matched (3)"
"Basses"	"Basses"	"8"	"8"	""	8	"8"	""	""	"basses"	"Basses"	""	"bassen"	"basses"	"guilders"	1	0	0	"matched (3)"
"Basses et bassons"	"Instruments de musique"	"8"	"8"	""	8	"8"	""	""	"basses et bassons"	"Basses et bassons"	""	"bassen en fagotten"	"basses and bassoons"	"pieces"	1	1	0	"matched (3)"
"Bassins ; à barbe"	"Bassins ; à barbe"	"8"	"8"	""		""	""	""	"Bassins ; à barbe"	"Bassins ; à barbe"	""	""	""	""	0	0	1	"matched (3)"
"Basson"	"Instruments de musique"	"8"	"8"	""		""	""	""	"Basson"	"Basson"	""	""	""	""	0	0	1	"matched (3)"
"Bast"	"Bast"	"6"	"6"	""	6	"6"	""	""	"bast"	"Bast"	""	"bast"	"bark ('bast')"	"guilders"	1	0	0	"matched (3)"
"Batanonis"	"Batanonis"	"6"	"6a"	"toile de lin"		""	""	""	"Batanonis"	"Batanonis"	""	""	""	""	0	0	1	"matched (3)"
"Batavia"	"Batavia"	"…"	"…"	""		""	""	""	"Batavia"	"Batavia"	""	""	""	""	0	0	1	"matched (3)"
"Bate de laurier"	"Bate de laurier"	"0"	"0a"	"Bayberrie"		""	""	"..."	"Bate de laurier"	"Bate de laurier"	""	""	""	""	0	0	1	"matched (3)"
"Bateaux ; de pêcheur"	"Bateaux"	"7"	"7"	""		""	""	""	"Batteau ; de pecheur"	"Bateaux ; de pêcheur"	""	""	""	""	0	0	1	"matched (3)"
"Bateaux ; neufs"	"Bateaux"	"7"	"7"	""		""	""	""	"Batteaux ; neufs"	"Bateaux ; neufs"	""	""	""	""	0	0	1	"matched (3)"
"Bateleux"	"Bateleux"	"…"	"…"	""		""	""	""	"Bateleux"	"Bateleux"	""	""	""	""	0	0	1	"matched (3)"
"Batiste ; blanche"	"Batiste ; blanche"	"6"	"6a"	""	6	"6a"	""	""	"batiste blanche"	"Batiste ; blanche"	""	"lijnwaad (witte batiste)"	"white batiste"	"pieces"	1	0	0	"matched (3)"
"Batiste ; grise"	"Batiste ; grise"	"6"	"6a"	""	6	"6a"	""	""	"batiste grise"	"Batiste ; grise"	""	"lijnwaad (grijse batiste)"	"grey batiste"	"pieces"	1	0	0	"matched (3)"
"Bats ; d'ânes"	"Bats ; d'ânes"	"7"	"7"	""		""	""	""	"Bats d'asnes"	"Bats ; d'ânes"	""	""	""	""	0	0	1	"matched (3)"
"Bats ; de cheval"	"Bats ; de cheval"	"7"	"7"	""		""	""	""	"Bats ; de cheval"	"Bats ; de cheval"	""	""	""	""	0	0	1	"matched (3)"
"Battoirs"	"Battoirs"	"2"	"2"	""		""	""	""	"Batoirs"	"Battoirs"	""	""	""	""	0	0	1	"matched (3)"
"Baudriers"	"Baudriers"	"7"	"7"	""		""	""	""	"Baudriers"	"Baudriers"	""	""	""	""	0	0	1	"matched (3)"
"Baume"	"Baume"	"5"	"5"	"beaume de vie"	5	"5"	"beaume de vie"	""	"Baume"	"Baume"	""	""	""	""	0	0	1	"matched (3)"
"Baume ; de copabu"	"Baume"	"5"	"5"	""		""	""	""	"Baume ; de copahu"	"Baume ; de copabu"	""	""	""	""	0	0	1	"matched (3)"
"Baume ; de la Mecque"	"Baume"	"5"	"5"	""		""	""	""	"Baume ; de la meque"	"Baume ; de la Mecque"	""	""	""	""	0	0	1	"matched (3)"
"Baume ; du Pérou"	"Baume"	"5"	"5"	""		""	""	""	"Baume ; du Perou"	"Baume ; du Pérou"	""	""	""	""	0	0	1	"matched (3)"
"Baume ; laque"	"Baume"	"5"	"5"	""		""	""	""	"Baume; du Perou"	"Baume ; laque"	""	""	""	""	0	0	1	"matched (3)"
"Baye ; de laurier"	"Baye ; de laurier"	"2"	"2"	""		""	""	""	"Baye de laurier"	"Baye ; de laurier"	""	""	""	""	0	0	1	"matched (3)"
"Bayette"	"Bayette"	"6"	"6b"	"Etoffe de laine non croisée, voir bayette"		""	""	"..."	"Bayette"	"Bayette"	""	""	""	""	0	0	1	"matched (3)"
"Bayonnettes"	"Armes"	"9"	"9"	""		""	""	""	"Bayonnettes"	"Bayonnettes"	""	""	""	""	0	0	1	"matched (3)"
"Bayoulen"	"Bayoulen"	"5"	"5"	""	5	"5"	""	""	"bayoulen"	"Bayoulen"	""	"bayoulen"	"bayoulen"	"pounds"	1	0	0	"matched (3)"
"Beaume et elixir"	"Baume"	"5"	"5"	"beaume de toute espece"	5	"5"	"beaume de toute espece"	""	"beaume et elixir"	"Beaume et elixir"	""	"balsem en alle soorten elixir"	"balm and elixir of all types"	"guilders"	1	1	0	"matched (3)"
"Beauverd ; broyé"	"Beauverd ; broyé"	"…"	"…"	""		""	""	""	"Beauverd ; broyé"	"Beauverd ; broyé"	""	""	""	""	0	0	1	"matched (3)"
"Bedelin"	"Bedelin"	"2"	"2"	"Coton qui vient du Levant par Marseille"		""	""	"Cotton"	"Bedelium"	"Bedelin"	""	""	""	""	0	0	1	"matched (3)"
"Benjoin"	"Benjoin"	"5"	"5"	""		""	""	"..."	"Benjoin"	"Benjoin"	""	""	""	""	0	0	1	"matched (3)"
"Bennes"	"Bennes"	"8"	"8"	""	8	"8"	""	""	"bennes"	"Bennes"	""	"manden (bennes)"	"baskets (bennes)"	"pieces"	1	0	0	"matched (3)"
"Bennes vuides"	"Bennes vuides"	"8"	"8"	""	8	"8"	""	""	"bennes vuides"	"Bennes vuides"	""	"lege druivenbaskets"	"empty grape baskets"	"pieces"	1	0	0	"matched (3)"
"Berceaux ; d'enfant"	"Berces et Berceaux"	"8"	"8"	""		""	""	""	"Berceaux ; d'enfant"	"Berceaux ; d'enfant"	""	""	""	""	0	0	1	"matched (3)"
"Berces ; d'osier"	"Berces et Berceaux"	"2"	"2"	""	2	"2"	""	""	"berses d'ozier"	"Berces ; d'osier"	""	"wiegen van teenwilg"	"cradles of wicker"	"pieces"	1	0	0	"matched (3)"
"Berces ; et lits d'enfants"	"Berces et Berceaux"	"8"	"8"	""		""	""	""	"berces et lits de fer"	"Berces ; et lits d'enfants"	""	""	""	""	0	0	0	"matched (3)"
"Bergamotes"	"Bergamotes"	"0"	"0a"	""		""	""	""	"Bergamottes"	"Bergamotes"	""	""	""	""	0	0	1	"matched (3)"
"Bergopsum"	"Bergopsum"	"…"	"…"	""		""	""	""	"Bergopsum"	"Bergopsum"	""	""	""	""	0	0	1	"matched (3)"
"Berline"	"Berline"	"7"	"7"	""		""	""	"..."	"Berline"	"Berline"	""	""	""	""	0	0	1	"matched (3)"
"Berline ; vieille"	"Berline"	"7"	"7"	""		""	""	""	"Berline ; vieille"	"Berline ; vieille"	""	""	""	""	0	0	1	"matched (3)"
"Bernes"	"Bernes"	"…"	"…"	""		""	""	""	"Bernues"	"Bernes"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; agneaux"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Bestiaux en agneaux"	"Bestiaux ; agneaux"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; bœufs"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Bestiaux ; Bœufs"	"Bestiaux ; bœufs"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; bœufs, vaches, moutons, porcs"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Bestiaux en bœufs, vaches, porcs, moutons"	"Bestiaux ; bœufs, vaches, moutons, porcs"	""	""	""	""	0	0	0	"matched (3)"
"Bestiaux ; bœufs, vaches, moutons, veaux"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Bestiaux en bœufs,vaches,veaux et moutons"	"Bestiaux ; bœufs, vaches, moutons, veaux"	""	""	""	""	0	0	0	"matched (3)"
"Bestiaux ; chèvres et boucs"	"Bestiaux"	"0"	"0a"	""		""	""	"..."	"Boucs"	"Bestiaux ; chèvres et boucs"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; divers"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Bestiaux ; divers"	"Bestiaux ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; en bœufs, vaches, porcs et moutons"	"Bestiaux"	"0"	"0a"	""		""	""	""	"1///Subsistances///Bestiaux en bœufs, vaches, porcs, moutons"	"Bestiaux ; en bœufs, vaches, porcs et moutons"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; en bœufs, vaches, veaux, porcs et moutons"	"Bestiaux"	"0"	"0a"	""		""	""	"..."	"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons"	"Bestiaux ; en bœufs, vaches, veaux, porcs et moutons"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; génisses"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Bestiaux ; genisses"	"Bestiaux ; génisses"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; moutons et brebis"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Bestiaux ; Moutons"	"Bestiaux ; moutons et brebis"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; porcs et porcelets"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Bestiaux ; porcs et porcelets"	"Bestiaux ; porcs et porcelets"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; taureaux"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Bestiaux ; toreaux"	"Bestiaux ; taureaux"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; vaches"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Bestiaux ; vaches"	"Bestiaux ; vaches"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; vaches ; en vie"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Vaches ; en vie"	"Bestiaux ; vaches ; en vie"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; vaches ; tuées"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Vaches ; tuées"	"Bestiaux ; vaches ; tuées"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; vaches, taureaux et genisses"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Vaches, genisses et taurreaux"	"Bestiaux ; vaches, taureaux et genisses"	""	""	""	""	0	0	1	"matched (3)"
"Bestiaux ; veaux"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Bestiaux ; veaux"	"Bestiaux ; veaux"	""	""	""	""	0	0	1	"matched (3)"
"Betilles"	"Betilles"	"6"	"6d"	""		""	""	""	"Betilles"	"Betilles"	""	""	""	""	0	0	1	"matched (3)"
"Beurre"	"Beurre"	"0"	"0a"	""		""	""	""	"Beurres"	"Beurre"	""	""	""	""	0	0	1	"matched (3)"
"Beurre ; ordinaire"	"Beurre"	"0"	"0a"	""		""	""	""	"Beurre ; ordinaire"	"Beurre ; ordinaire"	""	""	""	""	0	0	1	"matched (3)"
