marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	nbr_lignes_fr_bis
Bois ; d'acajou	Bois	2	2	bois servant à tourner et embellir	2	2	35
Bois ; d'aloès	Bois	2	2				
Bois ; d'amarante	Bois	2	2				7
Bois ; d'angeot	Bois	2	2				
Bois ; d'ansprete	Bois	6	6				
Bois ; d'arc		2	2				18
Bois ; d'arc et de fusils		2	2				7
Bois ; d'arcs		2	2				2
Bois ; d'arcs et d'arbalètes		2	2				1
Bois ; d'arcs et de selles	Bois	2	2		2	2	1
Bois ; d'aspatton	Bois	2	2				1
Bois ; d'aulne		2	2				2
Bois ; d'ébène	Bois	2	2				59
Bois ; d'érable	Bois	2	2				17
Bois ; d'esquisse		2	2				2
Bois ; d'éventails	Bois	2	2				6
Bois ; d'Inde	Bois	2	2				9
Bois ; d'Inde pour teinture et marqueterie ; divers	Bois ; d'Inde pour teinture et marqueterie ; divers	2	2				1
Bois ; d'olivier	Bois	2	2				16
Bois ; d'olivier ; pelé	Bois	2	2				2
Bois ; d'originelle	Bois	2	2				2
Bois ; d'orme	Bois	2	2				41
Bois ; d'osier	Bois	2	2				144
Bois ; de bateau		2	2				2
Bois ; de bois	Bois	2	2				1
Bois ; de bouleau		2	2				1
Bois ; de Brésil	Bois	2	2				33
Bois ; de brochialle	Bois	2	2				5
Bois ; de buis	Bois	2	2				24
Bois ; de caliatour	Bois	2	2				70
Bois ; de campêche	Bois	2	2				57
Bois ; de cannelle	Bois	2	2				2
Bois ; de Cayenne	Bois	2	2				5
Bois ; de cèdre	Bois	2	2				18
Bois ; de cêdre	Bois	2	2				
Bois ; de cerisier		2	2				3
Bois ; de chaises	Bois	2	2				4
Bois ; de charbonnage	Bois ; à brûler	3	3				8
Bois ; de charpente	Bois	2	2				8
Bois ; de chêne	Bois	2	2				14
Bois ; de chêne ; à poutre		2	2				4
Bois ; de chêne ; à sommier		2	2				71
Bois ; de chêne ; pour construction		2	2				1
Bois ; de chêne ; scié		2	2				1
Bois ; de chêne, carré		2	2				2
Bois ; de chêne, ronde		2	2				2
Bois ; de cleippe	Bois	2	2				1
Bois ; de coco	Bois	2	2				8
Bois ; de construction	Bois	2	2		2	2	34
Bois ; de corne		2	2				6
Bois ; de coudre et paniers dudit bois	Bois	8	8	bois de coudre et panniers dudit bois	8	8	
Bois ; de couleur	Bois	2	2				1
Bois ; de crabe	Bois	2	2				2
Bois ; de fauteuil	Bois	2	2				5
Bois ; de fayard	Bois	2	2				
Bois ; de fernambourg	Bois	2	2				4
Bois ; de flèches		2	2				1
Bois ; de flèches et arcs		2	2				1
Bois ; de flèches, arcs etc	Bois	2	2		2	2	
Bois ; de frêne		2	2				2
Bois ; de fusil	Bois	2	2				0
Bois ; de fustel	Bois	2	2				91
Bois ; de gayac	Bois	2	2				141
Bois ; de girofle	Bois	2	2				4
Bois ; de gitte		2	2				2
Bois ; de grenade	Bois	2	2				
Bois ; de grenadier	Bois	2	2				2
Bois ; de hêtre		2	2				2
Bois ; de Honduras	Bois	2	2				3
Bois ; de Jaraconda	Bois	2	2				12
Bois ; de jayat	Bois	2	2				1
Bois ; de la chine	Bois	2	2				1
Bois ; de lettre	Bois	2	2				2
Bois ; de lin	Bois	2	2				1
Bois ; de lit	Bois	2	2				1
Bois ; de marbre	Bois	2	2				4
Bois ; de marqueterie	Bois	2	2				6
Bois ; de marqueterie ; marbre	Marbre	2	2				1
Bois ; de menuiserie	Bois	2	2				97
Bois ; de merrains	Bois	2	2				1
Bois ; de noyer	Bois	2	2				2
Bois ; de palisante	Bois	2	2	bois servant à tourner et embellir	2	2	22
Bois ; de palissandre	Bois	2	2				12
Bois ; de passementerie ; en mats		2	2				0
Bois ; de passementerie ; en planches ; de sapin		2	2				0
Bois ; de passementerie ; en planches et poutrelles		2	2				0
Bois ; de pernambouc	Bois	2	2				45
Bois ; de pin	Bois	2	2				2
Bois ; de Provence, sernambue et campeche	Bois	2	2		5	5	4
Bois ; de Rodes	Bois	2	2				1
Bois ; de romarin	Bois	2	2	bois servant à tourner et embellir	2	2	4
Bois ; de rose	Bois	2	2				2
Bois ; de rouage	Bois	2	2				1
Bois ; de rouage ; et ouvrage de charronerie		7	7				
Bois ; de rouage et ouvrage de charronerie		7	7				3
Bois ; de rouage et ouvrages de charonerie	Bois ; ouvré	7	7		2	2	
Bois ; de Sainte Marthe		2	2				15
Bois ; de santal	Bois	2	2				11
Bois ; de santal ; moulu	Bois	2	2				3
Bois ; de sapin	Bois	2	2				2
Bois ; de sapin pour charpente	Bois	2	2		2	2	
Bois ; de Saune	Bois	2	2				0
Bois ; de Saxafras	Bois	0	0a				0
Bois ; de selles	Bois	2	2		2	2	3
Bois ; de Siramonbas	Bois	2	2				1
Bois ; de St. Martin		2	2				1
Bois ; de Ste Marthe	Bois	2	2				7
Bois ; de teck		2	2				2
Bois ; de teinture		2	2				52
Bois ; de teinture ; d'Honduras		2	2				1
Bois ; de teinture ; de campêche		2	2				7
Bois ; de teinture ; de fustick		2	2				1
Bois ; de teinture ; divers		2	2				0
Bois ; de teinture ; en buches		2	2				1
Bois ; de teinture ; nicaragua		2	2				3
Bois ; de terre	Bois	2	2				10
Bois ; de tilleul		2	2				100
Bois ; de toutes sortes	Bois	2	2				
Bois ; de toutes sortes déclarés par valeur	Bois	2	2		6	6	
Bois ; de violette	Bois	2	2				4
Bois ; des Iles	Bois	2	2				112
Bois ; dit 'ricter'	Bois	2	2				4
Bois ; dit schaelen ou rebus de Bois ;	Bois	2	2		2	2	1
Bois ; dit werres	Bois	2	2	werres, verris	2	2	
Bois ; divers	Bois	2	2				43
Bois ; doré	Bois	2	2				5
Bois ; du Brésil		2	2				3
Bois ; du Japon	Bois	2	2				54
Bois ; durci	Bois	2	2				12
Bois ; en barreaux	Bois	2	2				
Bois ; en barreaux et planches	Bois	2	2				
Bois ; en barres	Bois	2	2				
Bois ; en copeaux		2	2				8
Bois ; en epriers		2	2				1
Bois ; en feuillard et cercles	Bois	2	2				
Bois ; en tailles ; à couvrir		2	2				2
Bois ; en tranches	Bois	2	2				2
Bois ; epars	Epars	2	2	Longs morceaux de sapin, qui servent à faire des mâts de chaloupes et de canot, des bouts- dehors de vergues,			
Bois ; épars		2	2				0
Bois ; fagots	Bois ; à brûler	3	3				
Bois ; feuillard et en cercles	Bois ; feuillard et en cercles	2	2				
Bois ; flotté ; en étançons ; ronds		2	2				3
Bois ; fustel	Bois	2	2				
Bois ; gros	Bois	2	2				1
Bois ; jaune	Bois	2	2				116
Bois ; lourd		2	2				0
Bois ; marbré	Bois	2	2				2
Bois ; merrain	Bois	2	2				2
Bois ; merrain ; à barils	Bois	2	2				
Bois ; merrain ; à barriques	Bois	2	2				
Bois ; merrain ; à bottes	Bois	2	2				
Bois ; merrain ; a busses	Bois	2	2				
Bois ; merrain ; à fonds	Bois	2	2				
Bois ; merrain ; à pipes	Bois	2	2				
Bois ; merrain ; à quarts	Bois	2	2				
Bois ; merrain ; à Sonds	Bois	2	2				
Bois ; merrain ; à tierçons	Bois	2	2				
Bois ; merrain ; à tonneaux	Bois	2	2				
Bois ; merrain ; à tortues	Bois	2	2				
Bois ; merrain ; de sapin	Bois	2	2				
Bois ; morceaux		2	2				0
Bois ; néphrétique	Bois	2	2				7
Bois ; ouvré	Bois ; ouvré	2	2				
Bois ; palissandre	Bois	2	2				1
Bois ; par arbalètes	Bois	2	2		2	2	
Bois ; piles de		2	2				3
Bois ; portatif dit Neyster	Bois	2	2	bois dit neister	2	2	1
Bois ; pour arbalètes		2	2				9
Bois ; pour chaises	Bois	2	2		2	2	1
Bois ; pour construction		2	2				61
Bois ; pour cribles	Bois	2	2				52
Bois ; pour fonds de tonneaux		2	2				1
Bois ; pour fusils		2	2				1
Bois ; pour fûts		2	2				1
Bois ; pour Instrument de musique		2	2				1
Bois ; pour instruments de musique	Bois	2	2		6	6	
Bois ; pour Latte		2	2				6
Bois ; pour lattes	Bois	2	2		2	2	
Bois ; pour meuble		2	2				1
Bois ; pour navire		2	2				6
Bois ; pour palissade		2	2				1
Bois ; pour palissade et terrasse		2	2				3
Bois ; pour palissades	Bois	2	2				9
Bois ; pour Pipe		2	2				1
Bois ; pour plafonds		2	2				0
Bois ; pour pompe		2	2				3
Bois ; pour quilles		2	2				17
Bois ; préparé		2	2				1
Bois ; préparé pour charpente et autres ouvrages	Bois	2	2		2	2	
Bois ; préparé pour fusils	Bois	2	2		2	2	
Bois ; préparé pour ouvrages	Bois	2	2				
Bois ; préparé pour palissades	Bois	2	2		2	2	
Bois ; préparé pour palissades et terrasse	Bois	2	2		2	2	
Bois ; rose	Bois	2	2				35
Bois ; rouge	Bois	2	2				10
Bois ; royal	Bois	2	2				1
Bois ; scié	Bois	2	2				66
Bois ; scié de toutes sortes declarés par valeur	Bois	2	2				
Bois ; scié en gites	Bois	2	2		2	2	
Bois ; scié en pieds de gittes	Bois	2	2				
Bois ; scié en verres	Bois	2	2		2	2	
Bois ; soutreaux		2	2				1
Bois ; Sustek	Bois	2	2				0
Bois ; tord	Bois	2	2				1
Bois ; tropique	Bois	2	2		5	5	1
Bois ; vernis	Bois	2	2				19
Bois ; violet	Bois	2	2				4
Bois et ouvrage de charonnerie	Bois ; ouvré	6	6		6	6	
Bois et ouvrage de charronerie		6	6				1
Bois et panier ; de coudre		6	6				3
Boisson gazeuse à la salsepareille		1	1				17
Boîte	Boîtes	6	6				2
Boîte ; à sucre	Boîtes	6	6				3
Boîte ; blanche	Boîtes	6	6				6
Boîte ; de bergamote	Boîtes	6	6				84
Boîte ; de bois	Boîtes	6	6				138
Boîte ; de carton	Boîtes	6	6				1
Boîte ; de Nuremberg	Boîtes	6	6				1
Boîte ; de sapin	Boîtes	6	6				3
boites		6	6				2
Boîtes	Boîtes	6	6				
Boîtes ; blanches	Boîtes	6	6				
Boîtes ; de bergamote	Boîtes	6	6				
Boîtes ; de bois	Boîtes	6	6				
Boîtes ; de carton	Boîtes	6	6				
Boîtes ; de fer ; blanc		6	6				2
Boîtes ; de Nuremberg	Boîtes	6	6		6	6	
Boîtes ; de sapin	Boîtes	6	6				
Bol	Bol	6	6				3
Bol ; blanche		6	6				4
Bol ; d'Arménie	Bol ; d'Arménie	5	5		5	5	7
Boldavid	Boldavid	6	6a		6	6a	3
Bombasin	Bombasin	6	6d				
Bombes	Bombes et grenades	9	9				
Bombes de coton	Bombes de coton	…	…				2
Bombes et grenades	Bombes et grenades	9	9		9	9	3
Bonnet ; de blonde	Bonnet	8	8				2
Bonnet ; de coton	Bonnet	8	8				2
Bonnet ; de femme	Bonnet	8	8				
Bonnet ; de fil	Bonnet	8	8				15
Bonnet ; de fil et coton	Bonnet	8	8		8	8	
Bonnet ; de filosel	Bonnet	8	8		8	8	
Bonnet ; de laine	Bonnet	8	8				3
Bonnet ; de laine, fil et coton	Bonnet	8	8		8	8	
Bonnet ; de peaux	Bonnet	8	8		8	8	
Bonnet ; de postillons	Bonnet	8	8		8	8	
Bonnet ; de prêtres	Bonnet	8	8		8	8	
Bonnet ; de soie	Bonnet	8	8				1
Bonnet ; de soye	Bonnet	8	8		8	8	
Bonnet ; de toile	Bonnet	8	8				5
Bonnet ; de toile cirée	Bonnet	8	8				
Bonnet ; de velours	Bonnet	8	8				
Bonnet ; picques	Bonnet	8	8		8	8	
Bonnet ; picques, carcasses et fers à coiffures	Bonnet	8	8		8	8	
Bonnet ; pique ; carcasse ; et fer à coiffure		8	8				
Bonnet ; pique ; carcasse et fer à coiffure		8	8				1
Bonnet ; piqués	Bonnet	8	8				
Bonnet et pique		8	8				1
Bonnet, pique, carcasse et fer à coiffure		8	8				
Bonneterie	Bonneterie	8	8				37
Bonneterie ; bas ; de bourre ; de soie	Bonneterie	8	8				27
Bonneterie ; bas ; de coton	Bonneterie	8	8				1
Bonneterie ; bas ; de laine	Bonneterie	8	8				3
Bonneterie ; bas ; de soie	Bonneterie	8	8				10
Bonneterie ; bonnet	Bonneterie	8	8				1
Bonneterie ; bonnet ; d'enfant	Bonneterie	8	8				66
Bonneterie ; bonnet ; d'enfant, de velours ; et Bonnet ; à la postillonne	Bonneterie	8	8				
Bonneterie ; bonnet ; d'enfant, de velours et Bonnet à la postillonne		8	8				6
Bonneterie ; bonnet ; de castor	Bonneterie	8	8				1
Bonneterie ; bonnet ; de coton	Bonneterie	8	8				25
Bonneterie ; bonnet ; de femme	Bonneterie	8	8				1
Bonneterie ; bonnet ; de fil et coton	Bonneterie	8	8				72
Bonneterie ; bonnet ; de filosel	Bonneterie	8	8				10
Bonneterie ; bonnet ; de grenadines	Bonneterie	8	8				1
Bonneterie ; bonnet ; de laine	Bonneterie	8	8				26
Bonneterie ; bonnet ; de laine, fil et coton	Bonneterie	8	8				1
Bonneterie ; bonnet ; de peaux	Bonneterie	8	8				1
Bonneterie ; bonnet ; de postillons	Bonneterie	8	8				4
Bonneterie ; bonnet ; de prêtres	Bonneterie	8	8				63
Bonneterie ; bonnet ; de soie	Bonneterie	8	8				10
Bonneterie ; bonnet ; de toile cirée	Bonneterie	8	8				12
Bonneterie ; bonnet ; de velours	Bonneterie	8	8				168
Bonneterie ; bonnet ; piqués	Bonneterie	8	8				10
Bonneterie ; de bourre ; de fil	Bonneterie	8	8				10
Bonneterie ; de bourre ; de soie	Bonneterie	8	8				2
Bonneterie ; de coton	Bonneterie	8	8				15
Bonneterie ; de coton ; tricot	Bonneterie	8	8				5
Bonneterie ; de fil	Bonneterie	8	8				19
Bonneterie ; de fil et coton	Bonneterie	8	8				0
Bonneterie ; de fil, coton et laine	Bonneterie	8	8				96
Bonneterie ; de filain ; d'or	Bonneterie	8	8				1
Bonneterie ; de filoselle	Bonneterie	8	8				2
Bonneterie ; de laine	Bonneterie	8	8				46
Bonneterie ; de soie	Bonneterie	8	8				29
Bonneterie ; de soie ; tricot	Bonneterie	8	8				1
Bonneterie ; de soie et dorure	Bonneterie	8	8				1
Bonneterie ; diverse	Bonneterie	8	8				
Bonneterie ; en poil ; de lapin	Bonneterie	8	8				10
Bonneterie ; fil et coton	Bonneterie	8	8				1
Bonnets ; d'enfans	Bonnet	8	8		8	8	
Bonnets ; d'enfans, de velours et Bonnets ; à la postillonne	Bonnet	8	8		8	8	
Bonnets ; de castor	Bonnet	8	8		8	8	
Bonnets ; de grenadines	Bonnet	…	…				
Bonnets ; de laine		8	8				2
Borax	Borax	2	2				1
Bordages ; de chêne	Bordages ; de chêne	…	…				1
Bordures ; de tapisseries		8	8				1
Bordures ; dorées	Bordures ; dorées	8	8	Cadres ?			2
Bottes	Bottes	8	8				5
Bottes ; fortes	Bottes	8	8				44
Bottes et bottines	Bottes	8	8				8
Bottes pantalons		8	8				3
Bottines	Bottes	8	8				1
Boucassin	Boucassin	6	6d	Toile de coton			1
Bouchons ; de liège	Bouchons ; de liège	6	6				77
Boucles	Boucles	8	8				1
Boucles ; d'argent	Boucles	8	8				3
Boucles ; d'oreilles	Boucles	8	8				1
Boucles ; de cuivre	Boucles	8	8				16
Boucles ; de fer		8	8				1
Boucles ; de Pinsbeck		8	8				1
Boudins de poisson	Poisson	0	0a		0	0a	0
Boue de sel	Boue de sel	…	…				1
Bougie	Bougie	8	8				68
bougie	bougie	8	8				
Bougie ; blanche	Bougie	8	8				2
Bougie ; jaune	Bougie	8	8				2
Bougran	Bougran	8	8				16
Bouguette	Bouguette	0	0a		0	0a	4
Boulange	Boulange	0	0a				4
Boulangerie ; Petits pains ronds		0	0a				0
Boules ; de bois	Boules ; de bois	8	8				27
Boules ; de buis	Boulles ; de bois	8	8				1
Boules ; de mail	Boules ; de mail	8	8	Boule de buis, pour jouer au maillet (Savary)			0
Boules ; de verre	Boules ; de verre	6	6		6	6	3
Boules ; vulneraires	Boules ; vulneraires	5	5	Médicament			8
Boules de bois	Boulles ; de bois	6	6a				
Boulets ; de canon	Boulets ; de canon	9	9				4
Boulettes de marbre	Boulettes de marbre	6	6a				6
Boulles ; d'acier	Boulles ; d'acier	5	5	boulles d'acier vulneraire	5	5	0
Bouracan	Bouracan	…	…				5
Bourde	Cendre	5	5	Soude salée, de qualité inférieure, utilisée dans la fabrication du savon			
Bourdilles	Bourdilles	2	2	Bourdille ou bourillon : bois qui est utilisé pour les tonneaux et les futailles de vin et eau-de-vie			276
Bourillon	Bois	2	2	Bourdille ou bourillon : bois qui est utilisé pour les tonneaux et les futailles de vin et eau-de-vie			7
Bourillons	Bourillons	2	2	Bourdille ou bourillon : bois qui est utilisé pour les tonneaux et les futailles de vin et eau-de-vie			
Bourras	Étoffe ; de laine	6	6b	Bourras : On appelloit autrefois de ce nom une sorte de grosse étoffe de laine qui ne servoit que pour habiller les pauvres et les paysans. Ce terme n'est plus en usage et il est d'apparence qu'on lui a substitué celui de bure. (Savary)			8
Bourre	Bourre	2	2	Bourre de textile ?			
Bourre ; à bâtir	Bourre	2	2				26
Bourre ; chiquette	Bourre	2	2				2
Bourre ; de bœuf	Bourre	2	2				10
Bourre ; de chèvre	Bourre	2	2				2
Bourre ; de drap	Bourre	2	2				1
Bourre ; de fil	Bourre	2	2				11
Bourre ; de laine	Bourre	2	2	bourre de laine et noppes	2	2	13
Bourre ; de Levant	Bourre	2	2				
Bourre ; de soie	Bourre	2	2				304
Bourre ; de vache		2	2				37
Bourre ; du Levant		2	2				39
Bourre-lanisse	Bourre-lanisse	2	2				1
Bourse	Bourse	8	8				1
Bourse ; à bartier	Bourse	8	8				1
Bourse ; à butier	Bourse	8	8				1
Bourse ; à chevaux	Bourse	8	8				7
Bourse ; à cheveux	Bourse	8	8				6
Bourse ; de coton	Bourse	8	8				17
Bourse ; de coton et fil	Bourse	8	8				1
Bourse ; de Damas	Bourse	8	8				3
Bourse ; de fil	Bourse	8	8				4
Bourse ; de soie	Bourse	8	8				73
Bourse ; or et argent	Bourse	8	8				1
Bourses ; de soie		8	8				4
Boussoles	Boussoles	8	8				1
Boutannes	Boutannes	…	…				2
Bouteilles	Bouteilles	6	6				1
Bouteilles ; cristal	Bouteilles	6	6				1
Bouteilles ; de bois	Bouteilles	6	6				4
Bouteilles ; de composition	Bouteilles	6	6				9
Bouteilles ; de cristal et carafes	Bouteilles	6	6				2
Bouteilles ; de grès	Bouteilles	6	6				0
Bouteilles ; de verre	Bouteilles	6	6				67
bouteilles ; de verre garnis de jonc		6	6				1
bouteilles ; de verre garnis de joncs	bouteilles ; de verre garnis de joncs	6	6		6	6	
Boutonnières ; d'or	Boutonnières ; d'or	8	8				6
Boutons	Boutons	8	8				2
Boutons ; à Pierre ; fausses	Boutons	8	8				4
Boutons ; à pierres ; fausses	Boutons	8	8				
Boutons ; blanc ; étamés	Boutons	8	8				1
Boutons ; brodés ; de nacre ; de perle et d'acier	Boutons	8	8				1
Boutons ; brodés ; or et argent	Boutons	8	8				1
Boutons ; d'acier	Boutons	8	8		8	8	1
Boutons ; d'argent	Boutons	8	8				37
Boutons ; d'argent sur bois	Boutons	8	8		8	8	53
Boutons ; d'étain	Boutons	8	8				1
Boutons ; d'or	Boutons	8	8		8	8	12
Boutons ; d'or ; faux	Boutons	8	8				4
Boutons ; d'or et d'argent	Boutons	8	8				59
Boutons ; d'or faux	Boutons	8	8		8	8	1
Boutons ; d'os	Boutons	8	8		8	8	1
Boutons ; d'os et de cornes	Boutons	8	8		8	8	1
Boutons ; d'uniforme		8	8				80
Boutons ; de bois de coco	Boutons	8	8		8	8	0
Boutons ; de coco	Boutons	8	8				144
Boutons ; de cocq	Boutons	8	8		8	8	2
Boutons ; de cornes	Boutons	8	8		8	8	3
Boutons ; de coton	Boutons	8	8				1
Boutons ; de crin	Boutons	8	8				13
Boutons ; de cristal	Boutons	8	8				13
Boutons ; de cuivre	Boutons	8	8				5
Boutons ; de cuivre argenté et dorée	Boutons	8	8		8	8	16
Boutons ; de cuivre doré	Boutons	8	8		8	8	1
Boutons ; de cuivre et d'étain	Boutons	8	8		8	8	5
Boutons ; de cuivre et d'étain argentés	Boutons	8	8		8	8	148
Boutons ; de cuivre sur bois	Boutons	8	8		8	8	4
Boutons ; de cuivre sur bois, d'os de cocq et de cornes	Boutons	8	8		8	8	1
Boutons ; de fil	Boutons	8	8				31
Boutons ; de fil blanc	Boutons	8	8				29
Boutons ; de fil d'argent	Boutons	8	8				1
Boutons ; de fil d'or	Boutons	8	8				3
Boutons ; de fil d'or et d'argent	Boutons	8	8				1
Boutons ; de fil de poil de chevre	Boutons	8	8		8	8	9
Boutons ; de fil or et argent	Boutons	8	8				1
Boutons ; de jais	Boutons	8	8				3
Boutons ; de jayet	Boutons	8	8		8	8	1
Boutons ; de laiton	Boutons	8	8				9
Boutons ; de manches	Boutons	8	8				12
Boutons ; de métal	Boutons	8	8				5
Boutons ; de métal doré	Boutons	8	8		8	8	2
Boutons ; de nacre	Boutons	8	8				10
Boutons ; de nacre de perle	Boutons	8	8				8
Boutons ; de nacre de perle et jayet	Boutons	8	8		8	8	1
Boutons ; de Pinsbach	Boutons	8	8				8
Boutons ; de Pinsbeck	Boutons	8	8				2
Boutons ; de poil	Boutons	8	8				2
Boutons ; de poil ; de chèvre	Boutons	8	8				1
Boutons ; de soie	Boutons	8	8				3
Boutons ; de soie à poil	Boutons	8	8				1
Boutons ; de soye	Boutons	8	8		8	8	
Boutons ; de tombacq doré	Boutons	8	8		8	8	0
Boutons ; de trait d'or et d'argent fin	Boutons	8	8	boutons de fil d'or et d'argent fin	8	8	13
Boutons ; divers	Boutons	8	8				2
Boutons ; dorure ; d'argent	Boutons	8	8				1
Boutons ; dorure ; d'or et d'argent	Boutons	8	8				12
Boutons ; dorure ; d'or faux	Boutons	8	8				7
Boutons ; dorure ; d'or fin	Boutons	8	8				0
Boutons ; masquinés	Boutons	8	8				0
Bouts ; de corne	Bouts ; de corne	2	2				1
Boutty	Boutty	…	…				20
Boyaux ; salés	Boyaux ; salés	0	0a				53
Brai	Bray	5	5				75
Brai ; à brasser	Bray ; à brasser	0	0a		0	0a	3
Brai ; goudron	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			4
Brai ; goudron et résine	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			0
Brai ; gras	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			1
Brai ; Poix blanche et noire	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			1
Brai ; raze	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			1
Brai ; résine	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			3
Brai ; sec	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			4
Brai et goudron	Brai, goudron et résine	5	5	Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire ; il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.			33
