simplification,categorization,note
toile ; à paillasse,,
toile ; à drapeau,,
toile ; à doubler,,
toile ; à canevas,,
toile ; à bas,,
toile ; sangalette,,
toile ; royale,,
toile ; rouge,,
toile ; pressée,,
toile ; presitte,,
toile ; pour tente,,
toile ; pour talliet,,
toile ; pour tableau,,
toile ; pour tabac,,
toile ; pour serviette,,
toile ; à matelas,,
toile ; pour ameublement,,
toile ; de Poméranie,,
toile ; platille,,
toile ; petite,,
toile ; peinte ; imprimée,,
toile ; ouvrée,,
toile ; noyale,,
toile ; non battue,,
toile ; étoffe ; coton ; nankin,,
toile ; montagne,,
toile ; nicanéas,,
toile ; manouf,,
toile ; manche,,
toile ; lustrée,,
toile ; linon ; batiste,,
toile ; linon,,
toile ; linge de table ; vieux,,
toile ; lavée,,
toile ; killis,,
toile ; kettroy,,
toile ; indienne,,
toile ; imprimée,,
toile ; idem ; fin,,
toile ; idem ; d'Olonne,,
toile ; guinée ; bleue,,
toile ; guinée,,
toile ; gros fort,,
toile ; grise ; non battue,,
toile ; grise,,
toile ; gracienne,,
toile ; gommée,,
toile ; gingas ; nationale,,
toile ; gingas,,
toile ; flamande,,
toile ; fine,,
toile ; sac,,
toile et fil,,
toile et bonneterie,,
toile ; en serviette,,
toile ; linge de table,,
toile ; en fair,,
toile ; en chemise,,
toile ; embabis,,
toile ; découpée,,
toile ; dure,,
toile ; du pays,,
toile ; du Lyonnais,,
toile ; du Béarn,,
toile ; diverse ; en batiste,,
toile ; de voile,,
toile ; de soie,,
toile ; de ploc,,
toile ; de platille,,
toile ; de paille,,
toile ; de lisson,,
toile ; de lin ; écrue,,
toile ; de lin ; à matelas,,
toile ; de lin ; à doubler,,
toile ; de lin ; toilette,,
toile ; de lin ; teinte,,
toile ; de lin ; royale,,
toile ; de lin ; rayée,,
toile ; de lin ; platille,,
toile ; de lin ; linon ; brodée,,
toile ; de lin ; linon,,
toile ; de lin ; lingerie,,
toile ; de lin ; indigo,,
toile ; de lin ; imprimée,,
toile ; de lin ; grosse pointe,,
toile ; de lin ; grosse,,
toile ; de lin ; gingas,,
toile ; de lin ; fine ; de Hollande,,
toile ; de lin ; fine,,
toile ; de lin ; fin,,
toile ; de lin ; de bernay,,
toile ; de lin ; de Valenciennes,,
toile ; de lin ; de Troyes,,
toile ; de lin ; de St. Quentin,,
toile ; de lin ; de St. Malo,,
toile ; de lin ; de Servins,,
toile ; de lin ; de Senlis,,
toile ; de lin ; de Russie,,
toile ; de lin ; de Rouen,,
toile ; de lin ; de Pinon,,
toile ; de lin ; de Marigny,,
toile ; de lin ; de Lille,,
toile ; de lin ; de Laval,,
toile ; de lin ; de Hollande,,
toile ; de lin ; de Gand,,
toile ; de lin ; de Frise,,
toile ; de lin ; de Flandre,,
toile ; de lin ; de Cholet,,
toile ; de lin ; de Beauvais,,
toile ; de lin ; de Beaujolais,,
toile ; de lin ; d'Amiens,,
toile ; de lin ; d'Alençon,,
toile ; de lin ; d'Abbeville,,
toile ; de lin ; crue,,
toile ; de lin ; coutil,,
toile ; de lin ; claire et gaze,,
toile ; de lin ; claire,,
toile ; de lin ; cirée,,
toile ; de lin ; brochée,,
toile ; de lin ; blanche,,
toile ; de lin ; batiste,,
toile ; de lin ; au lait,,
toile ; de lin,,
toile ; de gris,,
toile ; de fougère,,
toile ; de fil ; en coutil,,
toile ; de fil ; commune,,
toile ; de fil ; blanche,,
toile ; de crin ; cirée,,
toile ; de crin,,
toile ; de couleur,,
toile ; de coton ; à jamin,,
toile ; de coton ; à carreau,,
toile ; de coton ; à bas,,
toile ; de coton ; vieux,,
toile ; de coton ; teinte,,
toile ; de coton et soie,,
toile ; de coton ; piquée,,
toile ; de coton ; persiste,,
toile ; de coton ; peinte,,
toile ; de coton ; nankin,,
toile ; de coton ; large,,
toile ; de coton ; imprimée,,
toile ; de coton ; futaine,,
toile ; de coton ; forte,,
toile ; de coton ; mousseline,,
toile ; de coton ; du Levant,,
toile ; de coton ; des Indes,,
toile ; de coton ; demitte,,
toile ; de coton ; du Piémont,,
toile ; de coton ; de guinée,,
toile ; de coton ; de duvet,,
toile ; de coton ; d'Antioche,,
toile ; de coton ; cotonnette,,
toile ; de coton ; corroyée,,
toile ; de coton ; brochée,,
toile ; de coton ; bleu,,
toile ; de coton ; blanche,,
toile ; de coton ; aman,,
toile ; de coton,,
toile ; de cordat,,
toile ; de chanvre ; trillin,,
toile ; de chanvre ; ouvrée,,
toile ; de chanvre ; lerue,,
toile ; de chanvre ; fine,,
toile ; de chanvre ; d'emballage,,
toile ; de chanvre ; blanche,,
toile ; de capiton,,
toile ; de caladrie,,
toile ; de bleue,,
toile ; de basin,,
toile ; de Vimoutiers,,
toile ; de Valenciennes,,
toile ; de St Quentin,,
toile ; de St Georges,,
toile ; de Sevigneau,,
toile ; de Saintonge,,
toile ; de Saint Jean,,
toile ; de Russie,,
toile ; de Rouen,,
toile ; de Rosconne,,
toile ; de Quintin,,
toile ; de Pouldavi,,
toile ; de Pontivy,,
toile ; de Piémont,,
toile ; de Nicanais,,
toile ; de Moûtiers,,
toile ; de Marigny,,
toile ; de Lyon,,
toile ; de Liménéas,,
toile ; de Lille,,
toile ; du Levant,,
toile ; de Laval,,
toile ; d'Hollande,,
toile ; de Hanovre,,
toile ; de Grenoble,,
toile ; de Grenade,,
toile ; de Frize,,
toile ; de France,,
toile ; de Flandre,,
toile ; de Comté,,
toile ; de Combourg,,
toile ; de Château-Gontier,,
toile ; de Cholet,,
toile ; de Bruges,,
toile ; de Bretagne ; étroite,,
toile ; de Bretagne ; à voile,,
toile ; de Bretagne ; vitrée,,
toile ; de Bretagne ; serpillière,,
toile ; de Bretagne ; rousse,,
toile ; de Bretagne ; reforme,,
toile ; de Bretagne ; rayée,,
toile ; de Bretagne ; raxonne,,
toile ; de Bretagne ; peinte,,
toile ; de Bretagne ; ouvrée,,
toile ; de Bretagne ; large,,
toile ; de Bretagne ; gracienne,,
toile ; de Bretagne ; entre large,,
toile ; de Bretagne ; diverse,,
toile ; de Bretagne ; de sept huit,,
toile ; de Bretagne ; de rosconne,,
toile ; de Bretagne ; de rondelette,,
toile ; de Bretagne ; de mantoncour,,
toile ; de Bretagne ; de hutte,,
toile ; de Bretagne ; de fougère,,
toile ; de Bretagne ; de couleur,,
toile ; de Bretagne ; de chanvre,,
toile ; de Bretagne ; de halle,,
toile ; de Bretagne ; de Vitré,,
toile ; de Bretagne ; de Vimoutiers,,
toile ; de Bretagne ; de St. Georges,,
toile ; de Bretagne ; de Savigny,,
toile ; de Bretagne ; de S Mais,,
toile ; de Bretagne ; de Quintin,,
toile ; de Bretagne ; de Pouldavy,,
toile ; de Bretagne ; de Mortagne,,
toile ; de Bretagne ; de Mayenne,,
toile ; de Bretagne ; de Leon,,
toile ; de Bretagne ; de Landerneau,,
toile ; de Bretagne ; de Dinant,,
toile ; de Bretagne ; de Combourg,,
toile ; de Bretagne ; de Boutivy,,
toile ; de Bretagne ; de Boutdave,,
toile ; de Bretagne ; d'Ernée,,
toile ; de Bretagne ; crue,,
toile ; de Bretagne ; cirée,,
toile ; de Bretagne ; blanche,,
toile ; de Bretagne,,
toile ; de Brabant,,
toile ; de Beauvais,,
toile ; de Beaufort,,
toile ; de Barrois,,
toile ; de Barbezieux,,
toile ; damassée,,
toile ; d'étoupe ; de chanvre,,
toile ; d'étoupe,,
toile ; jute,,
toile ; lin,,
toile ; d'ecripe,,
toile ; d'azar,,
toile ; d'Irlande,,
toile ; d'Antioche,,
toile ; d'Antal,,
toile ; d'Angers,,
toile ; d'Amat,,
toile ; d'Agen,,
toile ; céruse,,
toile ; crue,,
toile ; crise,,
toile ; cretonne,,
toile ; coutil ; fil,,
toile ; coutil,,
toile ; cordat,,
toile ; commune ; de Lille,,
toile ; commune,,
toile ; colette,,
toile ; chapilas,,
toile ; chapelure,,
toile ; canevas,,
toile ; caisse,,
toile ; beaudille,,
toile ; brodée,,
toile ; brochée,,
toile ; bougran,,
toile ; boucassine,,
toile ; bleue,,
toile ; blanche ; ordinaire,,
toile ; blanche ; fine,,
toile ; blanche ; de la compagnie,,
toile ; blanche ; de Saint Quentin et Valenciennes,,
toile ; blanche,,
toile ; lin ; blancard,,
toile ; blancard,,
toile ; batiste,,
toile ; de fil et coton ; basin,,
toile ; de fil ; basin,,
toile ; basin,,
toile ; bajutapeau,,
toile ; dessinée,,
toile ; au lait ; lin,,
toile ; au lait,,
toile ; assortie,,
toile ; abas,,
toile ; Bem ; à voile,,
toile ; Bem ; de Vimoutiers,,
tissu ; écarlate,,
tissu ; fin,,
tissu ; pour vêtement militaire,,
tissu ; de soie,,
tissu ; de laine ; angora,,
tissu ; de laine ; fabriqué à Arras,,
tissu ; de laine ; double fil,,
toile ; des Indes,,
tissu ; de crin,,
tissu ; de coton ; gratté d'un côté,,
tissu ; de coton,,
tissu ; de Windau,,
tissu,,
tiretaine,tiretaine,
tiers ; à tonneau,tiers ; à tonneaux,
thériaque ; de Venise,,
thériaque,thériaque,
thé ; vert,,
thé ; tonkay,,
thé ; saotchaon,,
thé ; pays,thé,
thé ; hayssuen,,
thé ; filé,,
thé ; et porcelaine,,
thé ; de l'Inde,,
thé ; bony,,
thé,thé,
poisson ; de mer ; thon ; thonine,poisson,
thon ; salé,,
thon ; mariné,,
thon ; frais,,
poisson ; de mer ; thon,poisson,
thermomètre,thermomètre,
theloc,,
textile ; Stramian,,
toile; laine; saye ; de Honscote,,
textile ; Gronen,,
textile ; Gronekens,,
textile,,
terrier ; de fer,terriers ; de fer,
terrerie ; blanche,,
terrerie,terrerie,
terrementil,,
terre ; à sucre,terre,
terre ; à potier,,
terre ; à poterie,terre,
terre ; à pipe,terre,
terre ; à foulon,terre,
terre ; à fouler,,
terre ; à ciment,terre,
terre ; à bâtir,terre,
terre ; à baril,,
terre ; verte,terre,
terre ; sigillée,terre,
terre ; rouge,terre,
terre ; pourrie,terre,
terre ; pour verrerie,,
terre ; noire,terre,
terre ; manganèse,terre,
terre ; jaune,terre,
terre ; houille,,
terre ; grasse,terre,
terre ; glaise,terre,
terre ; du Limousin,terre,
terre ; dite souda,,
terre ; de verrerie,terre,
terre ; de soufre,,
terre ; de rocou,terre,
terre ; de porcelaine,terre,
terre ; de plomb,terre,
terre ; à faire pipe,terre,
terre ; de mulardeau,,
terre ; de monnaie,terre,
terre ; de mine,,
terre ; de marne,,
terre ; de grès,terre,
terre ; à faïence,terre,
terre ; de ciment,terre,
terre ; de Vérone,terre,
terre ; de Suède,,
terre ; de Satine,terre,
terre ; de Rouen,,
terre ; de Rome,,
terre ; de France,,
terre ; de Cologne,terre,
terre ; de Bologne,terre,
terre ; d'ombre,terre,
terre ; commune,,
terre ; blanche,terre,
terre,terre,
terrasse,,
terraille ; noire ; de Gênes,,
terraille ; noire,,
terraille,,
tercq,tercq,
tenaille,,
teinture,teinture,
tayolle,tayolles,
tavelle ; de laine,tavelle ; de laine,
tavelle ; de fil et de laine,,
tavelle,tavelle,
tasse ; rouge,,
ouvrage ; de faïence ; tasse,ouvrage ; de faïence,
tartre ; émétique,,
tartre ; vitriolé,,
tartre ; rouge,,
tartre ; glan,,
tartre ; de vin,,
tartre,tartre,
tapsel ; large,,
tapsel,toile ; de coton,
tapisserie ; vieille,tapisserie,
tapisserie ; verdure,tapisserie,
tapisserie ; tantisse,tapisserie,
tapisserie ; peinte ; de Hongrie,tapisserie,
tapisserie ; peinte,tapisserie,
tapisserie ; des Gobelins,tapisserie,
tapisserie ; de toile peinte,tapisserie,
tapisserie ; de toile cirée,tapisserie,
tapisserie ; de moquette,tapisserie,
tapisserie ; de laine,tapisserie,
tapisserie ; de la Marche,tapisserie,
tapisserie ; de filoselle,tapisserie,
tapisserie ; de Rouen,tapisserie,
tapisserie ; de Dauphiné,tapisserie,
tapisserie ; de Bergame,tapisserie,
tapisserie ; de Beauvais,tapisserie,
tapisserie ; d'Auvergne,tapisserie,
tapisserie ; d'Aubusson,tapisserie,
tapisserie ; d'Anvers,tapisserie,
tapisserie ; d'Amiens,tapisserie,
tapisserie ; commune,tapisserie,
tapisserie,tapisserie,
tapis ; fil teint,tapis,
tapis ; fabrique de Tournais,,
tapis ; divers,tapis,
tapis ; de velours,tapis,
tapis ; de toile peinte,tapis,
tapis ; de toile cirée,tapis,
tapis ; de table,,
tapis ; de moquette,tapis,
tapis ; de laine,tapis,
tapis ; de guinée,,
tapis ; de coton,,
tapis ; de Turquie,tapis,
tapis ; d'indienne,tapis,
tapis ; d'Auvergne,tapis,
tapis ; d'Aubusson,tapis,
tapis ; d'Angleterre,,
tapis,,
tapetal,,
tanjebs,,
tamis ; à tabac,tamis,
tamis ; de crin,tamis,
tamis,tamis,
tambour,tambours,
tamarin ; gras,,
tamarin,tamarin,
talc,talc,
taillanderie,taillanderie,
tafia,,
taffetas ; foulas,taffetas ; foulas,
taffetas ; d'Avignon,,
tableau ; sur toile,,
tableau ; de famille,tableau,
tableau ; commun,tableau,
tableau,tableau,
table ; à thé,,
table ; à café,,
table ; de toilette,table,
table ; de sapin ; peinte,,
table ; de sapin,table,
table ; de nuit,table,
table ; de noyer,,
table ; de marbre,table,
table ; de bois,table,
table,table,
tabernacle ; de marbre,tabernacles ; de marbre,
tabernacle,tabernacles,
tabatière ; enrichie,tabatière,
tabatière ; de paille,tabatière,
tabatière ; de nacre,tabatière,
tabatière ; de forme,tabatière,
tabatière ; de cuir,,
tabatière ; de corne,tabatière,
tabatière ; de carton,tabatière,
tabatière ; de bois verni,,
tabatière ; de bois,tabatière,
tabatière ; de bergamote,tabatière,
tabatière ; d'émail,tabatière,
tabatière ; d'or,tabatière,
tabatière ; d'olivier,tabatière,
tabatière ; d'agate,tabatière,
tabac ; à varié,tabac,
tabac ; à fumer,tabac,
tabac ; râpé,tabac,
tabac ; pressé d'Allemagne,,
tabac ; pour échantillon,tabac,
tabac ; filé,,
tabac ; feuille,tabac,
tabac ; fabriqué,tabac,
tabac et savon,,
tabac ; en role,,
tabac ; en poudre,tabac,
tabac ; en manoque,,
tabac ; en feuille,tabac,
tabac ; en cotte,,
tabac ; en corde,,
tabac ; en caisse,tabac,
tabac ; en andouille,,
tabac ; divers,,
tabac ; de cantine,tabac,
tabac ; de caisse,tabac,
tabac ; de Virginie,tabac,
tabac ; de Séville,tabac,
tabac ; de St. Vincent,tabac,
tabac ; de St. Domingue,tabac,
tabac ; de Hollande,tabac,
tabac ; de Brésil,tabac,
tabac ; d'Espagne,tabac,
tabac ; commun,tabac,
tabac ; avarié,tabac,
tabac,tabac,
sébeste,,
suine,suine,
suif ; à faire des chandelle,suif,
suif ; pour raffiner le cuivre,,
suif ; pour faire du savon,,
suif ; fondu,suif,
suif ; en poil,suif,
suif ; en pain,suif,
suif ; en masse,,
suif ; en chandelle,suif,
suif ; en branche,suif,
suif,suif,
sucre et fruit ; sec ; raisin,,
sucre ; versoir,sucre,
sucre ; vergeoise,sucre,
sucre ; tête,sucre,
sucre ; raffiné,sucre,
sucre ; non raffiné,,
sucre ; mélasse,,
sucre ; terré,sucre,
sucre ; et vert-de-gris,,
sucre et tabac,,
sucre ; et roucou,,
sucre et prune,,
sucre et cuir,,
sucre ; en poudre blanc,,
sucre ; en poudre,sucre,
sucre ; divers,sucre,
sucre ; d'érable,sucre,
sucre ; d'orge,sucre,
sucre ; commun,sucre,
sucre ; cassonade,sucre,
sucre ; carré,sucre,
sucre ; bâtard,sucre,
sucre ; brut en forme,,
sucre ; brut,sucre,
sucre ; brun,sucre,
sucre ; blanc ; terré,,
sucre ; blanc ; en pain,sucre,
sucre ; blanc,sucre,
sucre,sucre,
succade,succade,
suc ; de réglisse,,
drogue ; médicinale ; sublime ; corosif,,
sublimé,sublimé,
storax ; liquide,,
stockfish,,
stinkerque,,
stil de grain,drogues ; pour la teinture,
stagnon,,
squine,squine,
squille ; de grain,,
spode,spode,
spirinck,,
spicanardi,spicanardi,
spicaceltica,spicaceltica,
spiante,,
spermaceti,spermaceti,
spath ; zinc ; smithsonite,,
sparterie,,
spardilles,spardilles,
spalte,spalte,
spalme,spalme,
soutien,,
soulier ; de cuir,,
souffre ; en canon,,
souffre,souffre,
soudure,soudure,
soude ; et tarte,,
soude,soude,
soucis,soucis,
vin,vin,
toile,,
drogue ; médicinale ; plante ; Guajocum,,
sonde,sonde,
son ; de farine,,
son,son,
sommier ; ou corps d'arbre de sapin,,
sole ; ou langue,,
poisson ; sole,,
soja,,
soierie ; de toile,,
soierie ; de fil de fleur,,
soie ; écrue,soie,
soie ; à coudre,soie,
soie ; à broder,soie,
soie ; torce,soie,
soie ; teinte,soie,
soie ; tapis,soie,
soie ; pour tisser,,
soie ; plate,soie,
soie ; ouvrée,soie,
soie ; nankin,soie,
soie ; moresque,soie,
soie ; grège,soie,
soie ; floche,,
soie ; fleuret,soie,
soie ; en cocon,soie,
soie ; des Indes,soie,
soie ; de toile,,
soie ; de porc,soie,
soie ; de nankin,soie,
soie ; de la chaîne,soie,
soie ; de Chine,,
soie ; de Bengale,soie,
soie ; crue,soie,
soie ; cocon,soie,
soie ; brute,,
soie ; blanche,soie,
soie ; apprêtée,soie,
socreton,,
soc ; de fer,,
soberton,,
smalte,,
sistresay,sistresay,
sirop ; terré,,
sirop ; mélasse,sirop,
sirop ; fin et mélasse,,
sirop ; fin,,
sirop ; de violette,sirop,
sirop ; de vinaigre,sirop,
sirop ; de sucre candi,,
sirop ; de sucre,,
sirop ; de mûre,,
sirop ; de limon,,
sirop ; de framboise,sirop,
sirop ; de cèdre,,
sirop ; de citron,sirop,
sirop ; de capitaine,sirop,
sirop ; de capillaire,sirop,
sirop ; de calbasse,,
sirop ; de calabre,sirop,
sirop ; d'amont,sirop,
sirop ; brut,,
siramonbas,siramonbas,
singe,,
simarouba,,
silex,,
signe,,
toile ; de fil de coton ; siamoise,,
serviette ; de table,,
serviette ; de lin,,
serviette,serviette,
serratule ; de teinture,,
serpentine,,
serpentin ; à distiller,serpentin ; à distiller,
serpentera virgina,serpentera virgina,
étoffe ; serge de soie,étoffe,
serge ; de laine,,
serge ; d'écarlatine,,
drap ; serge ; d'Angleterre,serge,
drap ; serge ; blanc,,
senegré,,
sempiterne,draps ; de laine,
semoule,semoule,
semencine,semencine,
semence ; froide,semence ; froides,
semence ; de sainfoin,,
semence ; de luzerne,,
semence ; de jardin,,
semence ; de cumin,,
semence ; de colsaet,,
semence ; de chanvre,,
semence ; d'anis,,
selle ; de poste,,
selle ; de fer,,
selle ; de cheval ; en mume,,
sel ; volatil,,
sel ; teint,,
sel ; pour la pèche libre,,
sel ; peccain,sel,
sel ; ordinaire,sel,
sel ; médicinal,sel,
sel ; mistry,sel,
sel ; misay,,
sel ; gris,sel,
sel ; grain,,
sel ; gemme,sel,
sel ; dit beggere,,
sel ; des sables d'olonne,,
sel ; de vitre,,
sel ; de verre,sel,
sel ; de tartre,sel,
sel ; de tartaric,,
sel ; de tamarin,sel,
sel ; de samoine,sel,
sel ; de roche,sel,
sel ; de nitre,sel,
sel ; de mer,,
sel ; de lait,,
sel ; de gemme,,
sel ; de chimie,sel,
sel ; de Rocq,,
sel ; de Rez,sel,
sel ; de Poulinguen,sel,
sel ; de Nike,,
sel ; de Marennes,,
sel ; de Lorraine,sel,
sel ; de Franche-Comté,sel,
sel ; de France,,
sel ; d'ypossum,sel,
sel ; d'alsem,,
sel ; d'absinthe (alsem),,
sel ; d'Espagne,,
sel ; d'Angleterre,sel,
sel ; chimique ; de nitre,,
sel ; chimique ; de lait,,
sel ; blanc,sel,
sel ; armoniac,,
sel ; antarctique,sel,
sel ; ammoniac,,
sel,sel,
sekt,,
grain ; seigle et orge,,
grain ; seigle et blé,,
grain ; seigle ; en gerbe,,
seigle ; de grain,,
segrin,,
secrétaire,secrétaires,
seau ; de vin,,
seau ; de fer ; blanc,,
seau ; de cuir,,
seau ; de bois,seaux,
seau ; de Martre,,
seau,seaux,
scille ; maritime,,
scie ; à moulu,,
scie ; de fer,,
scie,,
schiste,,
sceau ; de bois,,
scarlatine,,
scarfs,,
scaps,,
sayessa,sayessa,
saye ; teinte,,
saye ; de Liège,,
saye ; de Bruges,,
saye ; blanche,,
savonnette ; de senteur,,
savonnette,savonnettes,
savon ; vert,savon,
savon ; noir,savon,
savon ; marbré,savon,
savon ; madré,,
savon et cuir,,
savon ; d'Espagne,,
savon ; de Marseille,savon,
savon ; d'Alicante,savon,
savon ; blanc,savon,
savon,savon,
saumon ; mariné,poisson,
saumon ; fumé,poisson,
saumon ; frais,poisson,
saumon,poisson,
saumure,saumure,
sauge,,
saucisson,saucissons,
saucisse ; de Boulogne,,
saucisse,saucisses,
saturne,,
satin ; gris,,
satin ; de Chine,,
satin ; brodé ; en or,satin,
satin,satin,
sas,sas,
sarge ; de soie,,
sarge ; de poitou,,
sarge ; de Saint-Mexant,,
sarge,,
poisson ; de mer; salé ; sardine,poisson,
sardine,,
sapin ; à faire échelle,sapins,
sapin ; à faire gaffe,sapins,
sapin ; à faire comble,sapins,
sapin ; à faire belle,sapins,
sapin ; à bâtir,,
sapin ; en bloc,,
sapin ; anspects,sapins ; anspects,
sapin,sapins,
sapeline,,
santal ; moulu,,
santal ; citrin,,
santal ; blanc,,
santal,,
sanitaire,sanitaires,
sanguine,,
sanglier,,
sangle,sangles,
sang ; de dragon,sang ; de dragon,
sang,,
sandale,sandales,
sanas,sanas,
salsepareille,salsepareille,
"salpêtre, raffiné",,
"salpêtre, crû",,
salpêtre,salpêtre,
saloir ; de bois,saloirs ; de bois,
saloir,,
salin,salin,
salicor,salicor,
salage,salage,
saindoux,saindoux,
sain,,
sagou,sagou,
sagne,sagne,
safran ; orange,,
saffle,drogues ; pour la teinture,
sachet,,
sac ; vieux,,
sac ; de toile,sacs,
sac ; de poluard,sacs,
sabre,,
sablier,,
sable ; de verre,,
sable ; de mer,sable,
sable,sable,
sabatine,sabatines,
réveil,,
résine ; en pot,,
drogue ; médicinale ; jalap ; résine,drogue ; médicinale,
résine,résine,
réseau ; d'or,réseaux ; d'or,
réseau ; d'argent,réseaux ; d'argent,
réglisse,,
réchaud ; de terre,,
réagal,réagal,
rognure ; de gaïac,,
rognure ; de corne ; de cerf,,
râpe,rapes,
rusque ; de pin,rusque ; de pin,
rusque ; de chêne,rusque ; de chêne,
ruche ; à mouche,ruches,
ruche ; à miel,ruches,
ruche,,
rubanerie ; ordinaire,ruban,
