source,product_orthographic,product_simplification,product_sitc,product_edentreaty,product_canada,product_medicinales,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,product_RE_aggregate,product_threesectors,product_threesectorsM,nbr_occurences_navigo_marseille_,nbr_occurences_navigo_g5,nbr_occurrences_datasprint
Biscuits,biscuit,biscuit,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Grains transformés (5),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Farine, gruau, biscuits et pâtes",No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,13
Bière,bière,bière,1,Bière,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Bière, cidre et vinaigre",No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Subsistances,Agriculture,Produits agricoles,0,13,0
Bled,blé,grains blé,0a,,Hors Canada,not a medical product,,Froment (1),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,463,72,49
Bled avarié,blé avarié,blé avarié,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Céréales inférieures (2),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,1,0,0
Bled d'Espagne,blé d'Espagne,grains d'Espagne,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Menus grains (3),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Bled de Hongrie,blé de Hongrie,blé de Hongrie,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Froment (1),,,,,,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,2,0,0
Bled froment,blé froment,grains froment,0a,,Hors Canada,not a medical product,,Froment (1),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,3
Bled meture,blé méture,grains méteil,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Céréales inférieures (2),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,3
Bleds,blé,grains blé,0a,,Hors Canada,not a medical product,,Froment (1),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,10
Bleds froment,blé froment,grains froment,0a,,Hors Canada,not a medical product,,Froment (1),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,28
Bleds seigle,blé seigle,grains seigle,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Céréales inférieures (2),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,6
Blé,blé,grains blé,0a,,Hors Canada,not a medical product,,Froment (1),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,77,0
Blé baillarge,blé baillarge,grains baillarge,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Céréales inférieures (2),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,3
Blé d'Inde,blé d'Inde,grains d'Inde,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Menus grains (3),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,55,0
Blé froment,blé froment,grains froment,0a,,Hors Canada,not a medical product,,Froment (1),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,2,0
Blés,blé,grains blé,0a,,Hors Canada,not a medical product,,Froment (1),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,2,0
Boeuf,bœuf,bœuf,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Animaux,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Bêtes de somme,Agriculture,Produits agricoles,1,125,0
Boeuf salé,bœuf salé,bœuf salé,0a,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Chairs et œufs,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,4,0
Boeure [beurre],beurre,beurre,0a,,Hors Canada,not a medical product,Beurre,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,2
Boeurs [beurre],beurre,beurre,0a,,Hors Canada,not a medical product,Beurre,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,2
Bois,bois,bois,2,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bois divers hors combustible,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits primaires,13,239,371
Bois Merrin,bois merrains,merrains,6b,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Bois [à bruler],bois à brûler,bois pour brûler,3,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,Matières premières,Non-agricultural primary goods,Produits primaires,0,2,0
Bois [à brûler],bois à brûler,bois pour brûler,3,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,Matières premières,Non-agricultural primary goods,Produits primaires,0,2,0
Bois a batisse,bois à bâtisse,bois pour bâtir,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,2,0,0
Bois chauffages,bois chauffage,bois pour brûler,3,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,Matières premières,Non-agricultural primary goods,Produits primaires,0,0,2
Bois d'acajou,bois d'acajou,bois d'acajou,2,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bois divers hors combustible,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits primaires,0,4,0
Bois d'ebène,bois d'ébène,bois d'ébène,2,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bois divers hors combustible,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits primaires,0,1,0
Bois de Brésil,bois du Brésil,bois de Brésil,2,,Hors Canada,not a medical product,Bois ; de Pernambouc,Pas grain (0),not raw cotton,brasilwood,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,1,0
Bois de Campeche,bois de Campêche,bois de Campêche,2,,Hors Canada,not a medical product,Bois ; de teinture,Pas grain (0),not raw cotton,logwood,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,14,2,0
Bois de Campêche,bois de Campêche,bois de Campêche,2,,Hors Canada,not a medical product,Bois ; de teinture,Pas grain (0),not raw cotton,logwood,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,3,0
Bois de batisse,bois à bâtisse,bois pour bâtir,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,5,0,0
Bois de campêche,bois de Campêche,bois de Campêche,2,,Hors Canada,not a medical product,Bois ; de teinture,Pas grain (0),not raw cotton,logwood,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,2,0,0
Bois de cedre,bois de cèdre,bois de cèdre,2,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bois divers hors combustible,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits primaires,1,0,0
Bois de charpente,bois de charpente,bois de charpente,6b,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,4,14
Bois de charron,bois de charron,bois de charron,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Bois divers hors combustible,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits primaires,1,0,0
Bois de chauffage,bois de chauffage,bois pour brûler,3,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,Matières premières,Non-agricultural primary goods,Produits primaires,0,1,4
